"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"2","title","KZ40-RS20WF-T3","0","0","0","1","0"
"2","application","0","0","0","0","1","0"
"2","indoor","1","0","0","0","1","0"
"2","outdoor","0","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","1","0","0","0","1","0"
"2","warmerClimate","1","0","0","0","1","0"
"2","reversibility","0","0","0","0","1","0"
"2","colderForHeating","1","0","0","0","1","0"
"2","warmerForHeating","1","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","1","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","1","0","0","0","1","0"
"2","offPeakProduct","2","0","0","0","1","0"
"2","EN12102_2_001","53","0","1","0","2","0"
"2","EN12102_2_001","53","0","2","0","2","0"
"2","EN12102_2_001","53","0","3","0","2","0"
"2","EN16147_001","XL","0","1","0","2","0"
"2","EN16147_001","XL","0","2","0","2","0"
"2","EN16147_001","XL","0","2","0","2","0"
"2","EN16147_001","XL","0","3","0","2","0"
"2","EN16147_002","143","0","1","0","2","0"
"2","EN16147_002","118","0","2","0","2","0"
"2","EN16147_002","118","0","2","0","2","0"
"2","EN16147_002","136","0","3","0","2","0"
"2","EN16147_003","3.47","0","1","0","2","0"
"2","EN16147_003","2.87","0","2","0","2","0"
"2","EN16147_003","2.87","0","2","0","2","0"
"2","EN16147_003","3.30","0","3","0","2","0"
"2","EN16147_004","07:31","0","1","0","2","0"
"2","EN16147_004","08:50","0","2","0","2","0"
"2","EN16147_004","08:50","0","2","0","2","0"
"2","EN16147_004","08:53","0","3","0","2","0"
"2","EN16147_005","32.0","0","1","0","2","0"
"2","EN16147_005","32.0","0","2","0","2","0"
"2","EN16147_005","32.0","0","2","0","2","0"
"2","EN16147_005","30.0","0","3","0","2","0"
"2","EN16147_006","55.0","0","1","0","2","0"
"2","EN16147_006","55.0","0","2","0","2","0"
"2","EN16147_006","55.0","0","2","0","2","0"
"2","EN16147_006","53.0","0","3","0","2","0"
"2","EN16147_007","290","0","1","0","2","0"
"2","EN16147_007","291","0","2","0","2","0"
"2","EN16147_007","291","0","2","0","2","0"
"2","EN16147_007","290","0","3","0","2","0"
"2","EN16147_008","2","0","5","0","2","0"
"2","EN16147_009","2","0","5","0","2","0"
"2","EN16147_010","2","0","5","0","2","0"
"1","title","KZd40-RS20WF-T3","0","0","0","1","0"
"1","application","0","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","0","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","1","0","0","0","1","0"
"1","warmerClimate","1","0","0","0","1","0"
"1","reversibility","0","0","0","0","1","0"
"1","colderForHeating","1","0","0","0","1","0"
"1","warmerForHeating","1","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","1","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","2","0","0","0","1","0"
"1","EN12102_2_001","53","0","1","0","2","0"
"1","EN12102_2_001","53","0","2","0","2","0"
"1","EN12102_2_001","53","0","3","0","2","0"
"1","EN16147_001","XL","0","1","0","2","0"
"1","EN16147_001","XL","0","2","0","2","0"
"1","EN16147_001","XL","0","2","0","2","0"
"1","EN16147_001","XL","0","3","0","2","0"
"1","EN16147_002","143","0","1","0","2","0"
"1","EN16147_002","118","0","2","0","2","0"
"1","EN16147_002","118","0","2","0","2","0"
"1","EN16147_002","136","0","3","0","2","0"
"1","EN16147_003","3.47","0","1","0","2","0"
"1","EN16147_003","2.87","0","2","0","2","0"
"1","EN16147_003","2.87","0","2","0","2","0"
"1","EN16147_003","3.30","0","3","0","2","0"
"1","EN16147_004","07:31","0","1","0","2","0"
"1","EN16147_004","08:50","0","2","0","2","0"
"1","EN16147_004","08:50","0","2","0","2","0"
"1","EN16147_004","08:54","0","3","0","2","0"
"1","EN16147_005","32.0","0","1","0","2","0"
"1","EN16147_005","32.0","0","2","0","2","0"
"1","EN16147_005","32.0","0","2","0","2","0"
"1","EN16147_005","30.0","0","3","0","2","0"
"1","EN16147_006","55.0","0","1","0","2","0"
"1","EN16147_006","55.0","0","2","0","2","0"
"1","EN16147_006","55.0","0","2","0","2","0"
"1","EN16147_006","53.0","0","3","0","2","0"
"1","EN16147_007","290","0","1","0","2","0"
"1","EN16147_007","291","0","2","0","2","0"
"1","EN16147_007","291","0","2","0","2","0"
"1","EN16147_007","290","0","3","0","2","0"
"1","EN16147_008","2","0","5","0","2","0"
"1","EN16147_009","2","0","5","0","2","0"
"1","EN16147_010","2","0","5","0","2","0"
"3","title","TWFP200SE16MA","0","0","0","1","0"
"3","application","0","0","0","0","1","0"
"3","indoor","1","0","0","0","1","0"
"3","outdoor","0","0","0","0","1","0"
"3","coolingMode7c12c","0","0","0","0","1","0"
"3","coolingMode18c23c","0","0","0","0","1","0"
"3","colderClimate","1","0","0","0","1","0"
"3","warmerClimate","1","0","0","0","1","0"
"3","reversibility","0","0","0","0","1","0"
"3","colderForHeating","1","0","0","0","1","0"
"3","warmerForHeating","1","0","0","0","1","0"
"3","en145112Certification","0","0","0","0","1","0"
"3","heatSource","1","0","0","0","1","0"
"3","additionalOutdoorAir","0","0","0","0","1","0"
"3","additionalExhaustAir","0","0","0","0","1","0"
"3","additionalIndoorAir","0","0","0","0","1","0"
"3","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"3","powerSupply","1","0","0","0","1","0"
"3","offPeakProduct","2","0","0","0","1","0"
"3","EN12102_2_001","53","0","1","0","2","0"
"3","EN12102_2_001","53","0","2","0","2","0"
"3","EN12102_2_001","53","0","3","0","2","0"
"3","EN16147_001","XL","0","1","0","2","0"
"3","EN16147_001","XL","0","2","0","2","0"
"3","EN16147_001","XL","0","2","0","2","0"
"3","EN16147_001","XL","0","3","0","2","0"
"3","EN16147_002","143","0","1","0","2","0"
"3","EN16147_002","118","0","2","0","2","0"
"3","EN16147_002","118","0","2","0","2","0"
"3","EN16147_002","136","0","3","0","2","0"
"3","EN16147_003","3.47","0","1","0","2","0"
"3","EN16147_003","2.87","0","2","0","2","0"
"3","EN16147_003","2.87","0","2","0","2","0"
"3","EN16147_003","3.30","0","3","0","2","0"
"3","EN16147_004","07:31","0","1","0","2","0"
"3","EN16147_004","08:50","0","2","0","2","0"
"3","EN16147_004","08:50","0","2","0","2","0"
"3","EN16147_004","08:53","0","3","0","2","0"
"3","EN16147_005","32.0","0","1","0","2","0"
"3","EN16147_005","32.0","0","2","0","2","0"
"3","EN16147_005","32.0","0","2","0","2","0"
"3","EN16147_005","30.0","0","3","0","2","0"
