"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","HPM-V260W/SR2","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","26.71","4","10","0","2","0"
"","EN14511_2_001","27.28","5","10","0","2","0"
"","EN14511_2_002","6.02","4","10","0","2","0"
"","EN14511_2_002","9.46","5","10","0","2","0"
"","EN14511_2_003","4.44","4","10","0","2","0"
"","EN14511_2_003","2.88","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","59","4","3","0","2","0"
"","EN12102_1_002","59","5","3","0","2","0"
"","EN14825_001","189","4","3","0","2","0"
"","EN14825_001","143","5","3","0","2","0"
"","EN14825_002","25.10","4","3","0","2","0"
"","EN14825_002","26.20","5","3","0","2","0"
"","EN14825_003","4.81","4","3","0","2","0"
"","EN14825_003","3.65","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","23.26","4","3","0","2","0"
"","EN14825_008","23.45","5","3","0","2","0"
"","EN14825_009","2.77","4","3","0","2","0"
"","EN14825_009","2.20","5","3","0","2","0"
"","EN14825_047","0.998","4","3","0","2","0"
"","EN14825_047","0.998","5","3","0","2","0"
"","EN14825_010","13.25","4","3","0","2","0"
"","EN14825_010","13.47","5","3","0","2","0"
"","EN14825_011","4.42","4","3","0","2","0"
"","EN14825_011","3.39","5","3","0","2","0"
"","EN14825_048","0.994","4","3","0","2","0"
"","EN14825_048","0.995","5","3","0","2","0"
"","EN14825_012","8.46","4","3","0","2","0"
"","EN14825_012","8.79","5","3","0","2","0"
"","EN14825_013","7.30","4","3","0","2","0"
"","EN14825_013","5.15","5","3","0","2","0"
"","EN14825_049","0.984","4","3","0","2","0"
"","EN14825_049","0.989","5","3","0","2","0"
"","EN14825_014","7.19","4","3","0","2","0"
"","EN14825_014","6.91","5","3","0","2","0"
"","EN14825_015","9.78","4","3","0","2","0"
"","EN14825_015","7.40","5","3","0","2","0"
"","EN14825_050","0.976","4","3","0","2","0"
"","EN14825_050","0.981","5","3","0","2","0"
"","EN14825_016","23.26","4","3","0","2","0"
"","EN14825_016","23.45","5","3","0","2","0"
"","EN14825_017","2.77","4","3","0","2","0"
"","EN14825_017","2.20","5","3","0","2","0"
"","EN14825_018","20.13","4","3","0","2","0"
"","EN14825_018","22.67","5","3","0","2","0"
"","EN14825_019","2.93","4","3","0","2","0"
"","EN14825_019","2.05","5","3","0","2","0"
"","EN14825_021","0.997","4","3","0","2","0"
"","EN14825_021","0.998","5","3","0","2","0"
"","EN14825_022","62","4","3","0","2","0"
"","EN14825_022","62","5","3","0","2","0"
"","EN14825_023","17","4","3","0","2","0"
"","EN14825_023","17","5","3","0","2","0"
"","EN14825_024","18","4","3","0","2","0"
