"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"7","title","ecoGEO B1 1-9kW","0","0","0","1","0"
"7","application","2","0","0","0","1","0"
"7","indoor","1","0","0","0","1","0"
"7","outdoor","0","0","0","0","1","0"
"7","coolingMode7c12c","0","0","0","0","1","0"
"7","coolingMode18c23c","0","0","0","0","1","0"
"7","colderClimate","1","0","0","0","1","0"
"7","warmerClimate","1","0","0","0","1","0"
"7","reversibility","0","0","0","0","1","0"
"7","colderForHeating","1","0","0","0","1","0"
"7","warmerForHeating","1","0","0","0","1","0"
"7","en145112Certification","1","0","0","0","1","0"
"7","heatSource","4","0","0","0","1","0"
"7","additionalOutdoorAir","0","0","0","0","1","0"
"7","additionalExhaustAir","0","0","0","0","1","0"
"7","additionalIndoorAir","0","0","0","0","1","0"
"7","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"7","powerSupply","1","0","0","0","1","0"
"7","offPeakProduct","1","0","0","0","1","0"
"7","EN14511_2_001","4.12","4","0","0","2","0"
"7","EN14511_2_001","4.80","5","0","0","2","0"
"7","EN14511_2_001","4.12","4","10","0","2","0"
"7","EN14511_2_001","4.80","5","10","0","2","0"
"7","EN14511_2_002","0.91","4","0","0","2","0"
"7","EN14511_2_002","1.70","5","0","0","2","0"
"7","EN14511_2_002","0.91","4","10","0","2","0"
"7","EN14511_2_002","1.70","5","10","0","2","0"
"7","EN14511_2_003","4.52","4","0","0","2","0"
"7","EN14511_2_003","2.83","5","0","0","2","0"
"7","EN14511_2_003","4.52","4","10","0","2","0"
"7","EN14511_2_003","2.83","5","10","0","2","0"
"7","EN14511_4_003","2","0","0","0","2","0"
"7","EN14511_4_003","2","0","10","0","2","0"
"7","EN14511_4_004","2","0","0","0","2","0"
"7","EN14511_4_004","2","0","10","0","2","0"
"7","EN14511_4_005","2","0","10","0","2","0"
"7","EN14511_4_006","2","0","0","0","2","0"
"7","EN14511_4_006","2","0","10","0","2","0"
"7","EN12102_1_001","54","4","0","0","2","0"
"7","EN12102_1_001","54","4","0","0","2","0"
"7","EN12102_1_001","54","4","0","0","2","0"
"7","EN12102_1_001","54","5","0","0","2","0"
"7","EN12102_1_001","54","5","0","0","2","0"
"7","EN12102_1_001","54","5","0","0","2","0"
"7","EN12102_1_001","54","4","1","0","2","0"
"7","EN12102_1_001","54","5","1","0","2","0"
"7","EN12102_1_001","54","4","2","0","2","0"
"7","EN12102_1_001","54","5","2","0","2","0"
"7","EN12102_1_001","54","4","3","0","2","0"
"7","EN12102_1_001","54","5","3","0","2","0"
"7","EN14825_043","11.0","4","1","0","2","0"
"7","EN14825_043","12.5","5","1","0","2","0"
"7","EN14825_043","11.0","4","2","0","2","0"
"7","EN14825_043","10.5","5","2","0","2","0"
"7","EN14825_043","11.0","4","3","0","2","0"
"7","EN14825_043","10.5","5","3","0","2","0"
"7","EN14825_001","192","4","0","0","2","0"
"7","EN14825_001","196","4","0","0","2","0"
"7","EN14825_001","196","4","0","0","2","0"
"7","EN14825_001","145","5","0","0","2","0"
"7","EN14825_001","130","5","0","0","2","0"
"7","EN14825_001","142","5","0","0","2","0"
"7","EN14825_001","184","4","1","0","2","0"
"7","EN14825_001","141","5","1","0","2","0"
"7","EN14825_001","187","4","2","0","2","0"
"7","EN14825_001","163","5","2","0","2","0"
"7","EN14825_001","186","4","3","0","2","0"
"7","EN14825_001","140","5","3","0","2","0"
"7","EN14825_002","11.00","4","0","0","2","0"
"7","EN14825_002","11.00","4","0","0","2","0"
"7","EN14825_002","11.00","4","0","0","2","0"
"7","EN14825_002","10.90","5","0","0","2","0"
"7","EN14825_002","10.90","5","0","0","2","0"
"7","EN14825_002","10.90","5","0","0","2","0"
"7","EN14825_002","11.00","4","1","0","2","0"
"7","EN14825_002","10.5","5","1","0","2","0"
"7","EN14825_002","11.00","4","2","0","2","0"
"7","EN14825_002","10.5","5","2","0","2","0"
"7","EN14825_002","11","4","3","0","2","0"
"7","EN14825_002","10.5","5","3","0","2","0"
"7","EN14825_003","4.80","4","0","0","2","0"
"7","EN14825_003","4.91","4","0","0","2","0"
"7","EN14825_003","4.85","4","0","0","2","0"
"7","EN14825_003","3.62","5","0","0","2","0"
"7","EN14825_003","3.25","5","0","0","2","0"
"7","EN14825_003","3.54","5","0","0","2","0"
"7","EN14825_003","4.80","4","1","0","2","0"
"7","EN14825_003","3.73","5","1","0","2","0"
"7","EN14825_003","4.87","4","2","0","2","0"
"7","EN14825_003","4.28","5","2","0","2","0"
"7","EN14825_003","4.84","4","3","0","2","0"
"7","EN14825_003","3.71","5","3","0","2","0"
"7","EN14825_004","2","4","0","0","2","0"
"7","EN14825_004","-22","4","0","0","2","0"
"7","EN14825_004","-10","4","0","0","2","0"
"7","EN14825_004","2","5","0","0","2","0"
"7","EN14825_004","-22","5","0","0","2","0"
"7","EN14825_004","-10","5","0","0","2","0"
"7","EN14825_004","2","4","1","0","2","0"
"7","EN14825_004","2","5","1","0","2","0"
"7","EN14825_004","-22","4","2","0","2","0"
"7","EN14825_004","-22","5","2","0","2","0"
"7","EN14825_004","-10","4","3","0","2","0"
"7","EN14825_004","-10","5","3","0","2","0"
"7","EN14825_005","2","4","0","0","2","0"
"7","EN14825_005","-22","4","0","0","2","0"
"7","EN14825_005","-10","4","0","0","2","0"
"7","EN14825_005","2","5","0","0","2","0"
"7","EN14825_005","-22","5","0","0","2","0"
"7","EN14825_005","-10","5","0","0","2","0"
"7","EN14825_005","2","4","1","0","2","0"
"7","EN14825_005","2","5","1","0","2","0"
