"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","APTAE AHP70-65 (Brand: ATLANTIC)","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","40.89","4","10","0","2","0"
"1","EN14511_2_001","38.32","5","10","0","2","0"
"1","EN14511_2_002","8.89","4","10","0","2","0"
"1","EN14511_2_002","11.88","5","10","0","2","0"
"1","EN14511_2_003","4.60","4","10","0","2","0"
"1","EN14511_2_003","3.23","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","75","4","3","0","2","0"
"1","EN12102_1_002","75","5","3","0","2","0"
"1","EN14825_001","160","4","3","0","2","0"
"1","EN14825_001","130","5","3","0","2","0"
"1","EN14825_002","59.59","4","3","0","2","0"
"1","EN14825_002","56.56","5","3","0","2","0"
"1","EN14825_003","4.08","4","3","0","2","0"
"1","EN14825_003","3.32","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","52.71","4","3","0","2","0"
"1","EN14825_008","50.03","5","3","0","2","0"
"1","EN14825_009","3.07","4","3","0","2","0"
"1","EN14825_009","2.28","5","3","0","2","0"
"1","EN14825_047","1.000","4","3","0","2","0"
"1","EN14825_047","1.000","5","3","0","2","0"
"1","EN14825_010","34.05","4","3","0","2","0"
"1","EN14825_010","32.87","5","3","0","2","0"
"1","EN14825_011","3.99","4","3","0","2","0"
"1","EN14825_011","3.25","5","3","0","2","0"
"1","EN14825_048","1.000","4","3","0","2","0"
"1","EN14825_048","1.000","5","3","0","2","0"
"1","EN14825_012","42.00","4","3","0","2","0"
"1","EN14825_012","40.23","5","3","0","2","0"
"1","EN14825_013","5.10","4","3","0","2","0"
"1","EN14825_013","4.24","5","3","0","2","0"
"1","EN14825_049","0.969","4","3","0","2","0"
"1","EN14825_049","0.976","5","3","0","2","0"
"1","EN14825_014","48.12","4","3","0","2","0"
"1","EN14825_014","46.47","5","3","0","2","0"
"1","EN14825_015","5.80","4","3","0","2","0"
"1","EN14825_015","5.06","5","3","0","2","0"
"1","EN14825_050","0.967","4","3","0","2","0"
"1","EN14825_050","0.975","5","3","0","2","0"
"1","EN14825_016","52.71","4","3","0","2","0"
"1","EN14825_016","50.03","5","3","0","2","0"
"1","EN14825_017","3.07","4","3","0","2","0"
"1","EN14825_017","2.28","5","3","0","2","0"
"1","EN14825_018","49.47","4","3","0","2","0"
"1","EN14825_018","47.32","5","3","0","2","0"
"1","EN14825_019","2.90","4","3","0","2","0"
"1","EN14825_019","2.14","5","3","0","2","0"
"1","EN14825_021","1.000","4","3","0","2","0"
"1","EN14825_021","1.000","5","3","0","2","0"
"1","EN14825_022","70","4","3","0","2","0"
"1","EN14825_022","70","5","3","0","2","0"
"1","EN14825_023","183","4","3","0","2","0"
"1","EN14825_023","183","5","3","0","2","0"
"1","EN14825_024","276","4","3","0","2","0"
"1","EN14825_024","231","5","3","0","2","0"
"1","EN14825_025","183","4","3","0","2","0"
"1","EN14825_025","183","5","3","0","2","0"
"1","EN14825_026","0","4","3","0","2","0"
"1","EN14825_026","0","5","3","0","2","0"
"1","EN14825_027","0","4","3","0","2","0"
"1","EN14825_027","0","5","3","0","2","0"
"1","EN14825_028","10.11","4","3","0","2","0"
"1","EN14825_028","9.24","5","3","0","2","0"
"1","EN14825_029","30212","4","3","0","2","0"
"1","EN14825_029","35240","5","3","0","2","0"
"3","title","ECOMOD 290 HT AHP70-65 (Brand: IDEAL)","0","0","0","1","0"
"3","application","2","0","0","0","1","0"
"3","indoor","0","0","0","0","1","0"
"3","outdoor","1","0","0","0","1","0"
"3","coolingMode7c12c","0","0","0","0","1","0"
"3","coolingMode18c23c","0","0","0","0","1","0"
"3","colderClimate","0","0","0","0","1","0"
"3","warmerClimate","0","0","0","0","1","0"
"3","reversibility","1","0","0","0","1","0"
"3","colderForHeating","0","0","0","0","1","0"
"3","warmerForHeating","0","0","0","0","1","0"
"3","en145112Certification","0","0","0","0","1","0"
"3","heatSource","0","0","0","0","1","0"
"3","additionalOutdoorAir","0","0","0","0","1","0"
"3","additionalExhaustAir","0","0","0","0","1","0"
"3","additionalIndoorAir","0","0","0","0","1","0"
"3","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"3","powerSupply","0","0","0","0","1","0"
"3","offPeakProduct","0","0","0","0","1","0"
"3","EN14511_2_001","40.89","4","10","0","2","0"
"3","EN14511_2_001","38.32","5","10","0","2","0"
"3","EN14511_2_002","8.89","4","10","0","2","0"
"3","EN14511_2_002","11.88","5","10","0","2","0"
"3","EN14511_2_003","4.60","4","10","0","2","0"
"3","EN14511_2_003","3.23","5","10","0","2","0"
"3","EN14511_4_003","2","0","10","0","2","0"
"3","EN14511_4_004","2","0","10","0","2","0"
"3","EN14511_4_005","2","0","10","0","2","0"
"3","EN14511_4_006","2","0","10","0","2","0"
"3","EN12102_1_002","75","4","3","0","2","0"
"3","EN12102_1_002","75","5","3","0","2","0"
"3","EN14825_001","160","4","3","0","2","0"
"3","EN14825_001","130","5","3","0","2","0"
"3","EN14825_002","59.59","4","3","0","2","0"
"3","EN14825_002","56.56","5","3","0","2","0"
"3","EN14825_003","4.08","4","3","0","2","0"
"3","EN14825_003","3.32","5","3","0","2","0"
"3","EN14825_004","-7","4","3","0","2","0"
"3","EN14825_004","-7","5","3","0","2","0"
"3","EN14825_005","-10","4","3","0","2","0"
"3","EN14825_005","-10","5","3","0","2","0"
"3","EN14825_008","52.71","4","3","0","2","0"
"3","EN14825_008","50.03","5","3","0","2","0"
"3","EN14825_009","3.07","4","3","0","2","0"
"3","EN14825_009","2.28","5","3","0","2","0"
"3","EN14825_047","1.000","4","3","0","2","0"
"3","EN14825_047","1.000","5","3","0","2","0"
"3","EN14825_010","34.05","4","3","0","2","0"
"3","EN14825_010","32.87","5","3","0","2","0"
"3","EN14825_011","3.99","4","3","0","2","0"
"3","EN14825_011","3.25","5","3","0","2","0"
"3","EN14825_048","1.000","4","3","0","2","0"
"3","EN14825_048","1.000","5","3","0","2","0"
"3","EN14825_012","42.00","4","3","0","2","0"
"3","EN14825_012","40.23","5","3","0","2","0"
"3","EN14825_013","5.10","4","3","0","2","0"
"3","EN14825_013","4.24","5","3","0","2","0"
"3","EN14825_049","0.969","4","3","0","2","0"
"3","EN14825_049","0.976","5","3","0","2","0"
"3","EN14825_014","48.12","4","3","0","2","0"
"3","EN14825_014","46.47","5","3","0","2","0"
"3","EN14825_015","5.80","4","3","0","2","0"
"3","EN14825_015","5.06","5","3","0","2","0"
"3","EN14825_050","0.967","4","3","0","2","0"
"3","EN14825_050","0.975","5","3","0","2","0"
"3","EN14825_016","52.71","4","3","0","2","0"
"3","EN14825_016","50.03","5","3","0","2","0"
"3","EN14825_017","3.07","4","3","0","2","0"
"3","EN14825_017","2.28","5","3","0","2","0"
"3","EN14825_018","49.47","4","3","0","2","0"
"3","EN14825_018","47.32","5","3","0","2","0"
"3","EN14825_019","2.90","4","3","0","2","0"
"3","EN14825_019","2.14","5","3","0","2","0"
"3","EN14825_021","1.000","4","3","0","2","0"
"3","EN14825_021","1.000","5","3","0","2","0"
"3","EN14825_022","70","4","3","0","2","0"
"3","EN14825_022","70","5","3","0","2","0"
"3","EN14825_023","183","4","3","0","2","0"
"3","EN14825_023","183","5","3","0","2","0"
"3","EN14825_024","276","4","3","0","2","0"
"3","EN14825_024","231","5","3","0","2","0"
"3","EN14825_025","183","4","3","0","2","0"
"3","EN14825_025","183","5","3","0","2","0"
"3","EN14825_026","0","4","3","0","2","0"
"3","EN14825_026","0","5","3","0","2","0"
"3","EN14825_027","0","4","3","0","2","0"
"3","EN14825_027","0","5","3","0","2","0"
"3","EN14825_028","10.11","4","3","0","2","0"
"3","EN14825_028","9.24","5","3","0","2","0"
"3","EN14825_029","30212","4","3","0","2","0"
"3","EN14825_029","35240","5","3","0","2","0"
"2","title","IZEA AHP70-65 (Brand: ACV)","0","0","0","1","0"
"2","application","2","0","0","0","1","0"
"2","indoor","0","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","0","0","0","0","1","0"
"2","reversibility","1","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","0","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","0","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","0","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","40.89","4","10","0","2","0"
"2","EN14511_2_001","38.32","5","10","0","2","0"
"2","EN14511_2_002","8.89","4","10","0","2","0"
"2","EN14511_2_002","11.88","5","10","0","2","0"
"2","EN14511_2_003","4.60","4","10","0","2","0"
"2","EN14511_2_003","3.23","5","10","0","2","0"
"2","EN14511_4_003","2","0","10","0","2","0"
"2","EN14511_4_004","2","0","10","0","2","0"
"2","EN14511_4_005","2","0","10","0","2","0"
"2","EN14511_4_006","2","0","10","0","2","0"
"2","EN12102_1_002","75","4","3","0","2","0"
"2","EN12102_1_002","75","5","3","0","2","0"
"2","EN14825_001","160","4","3","0","2","0"
"2","EN14825_001","130","5","3","0","2","0"
"2","EN14825_002","59.59","4","3","0","2","0"
"2","EN14825_002","56.56","5","3","0","2","0"
"2","EN14825_003","4.08","4","3","0","2","0"
"2","EN14825_003","3.32","5","3","0","2","0"
"2","EN14825_004","-7","4","3","0","2","0"
"2","EN14825_004","-7","5","3","0","2","0"
"2","EN14825_005","-10","4","3","0","2","0"
"2","EN14825_005","-10","5","3","0","2","0"
"2","EN14825_008","52.71","4","3","0","2","0"
"2","EN14825_008","50.03","5","3","0","2","0"
"2","EN14825_009","3.07","4","3","0","2","0"
"2","EN14825_009","2.28","5","3","0","2","0"
"2","EN14825_047","1.000","4","3","0","2","0"
"2","EN14825_047","1.000","5","3","0","2","0"
"2","EN14825_010","34.05","4","3","0","2","0"
"2","EN14825_010","32.87","5","3","0","2","0"
"2","EN14825_011","3.99","4","3","0","2","0"
"2","EN14825_011","3.25","5","3","0","2","0"
"2","EN14825_048","1.000","4","3","0","2","0"
"2","EN14825_048","1.000","5","3","0","2","0"
"2","EN14825_012","42.00","4","3","0","2","0"
"2","EN14825_012","40.23","5","3","0","2","0"
"2","EN14825_013","5.10","4","3","0","2","0"
"2","EN14825_013","4.24","5","3","0","2","0"
"2","EN14825_049","0.969","4","3","0","2","0"
"2","EN14825_049","0.976","5","3","0","2","0"
"2","EN14825_014","48.12","4","3","0","2","0"
"2","EN14825_014","46.47","5","3","0","2","0"
"2","EN14825_015","5.80","4","3","0","2","0"
"2","EN14825_015","5.06","5","3","0","2","0"
"2","EN14825_050","0.967","4","3","0","2","0"
"2","EN14825_050","0.975","5","3","0","2","0"
"2","EN14825_016","52.71","4","3","0","2","0"
"2","EN14825_016","50.03","5","3","0","2","0"
"2","EN14825_017","3.07","4","3","0","2","0"
"2","EN14825_017","2.28","5","3","0","2","0"
"2","EN14825_018","49.47","4","3","0","2","0"
"2","EN14825_018","47.32","5","3","0","2","0"
"2","EN14825_019","2.90","4","3","0","2","0"
"2","EN14825_019","2.14","5","3","0","2","0"
"2","EN14825_021","1.000","4","3","0","2","0"
"2","EN14825_021","1.000","5","3","0","2","0"
"2","EN14825_022","70","4","3","0","2","0"
"2","EN14825_022","70","5","3","0","2","0"
"2","EN14825_023","183","4","3","0","2","0"
"2","EN14825_023","183","5","3","0","2","0"
"2","EN14825_024","276","4","3","0","2","0"
"2","EN14825_024","231","5","3","0","2","0"
"2","EN14825_025","183","4","3","0","2","0"
"2","EN14825_025","183","5","3","0","2","0"
"2","EN14825_026","0","4","3","0","2","0"
"2","EN14825_026","0","5","3","0","2","0"
"2","EN14825_027","0","4","3","0","2","0"
"2","EN14825_027","0","5","3","0","2","0"
"2","EN14825_028","10.11","4","3","0","2","0"
"2","EN14825_028","9.24","5","3","0","2","0"
"2","EN14825_029","30212","4","3","0","2","0"
"2","EN14825_029","35240","5","3","0","2","0"
"4","title","TYNEHAM 290 HT AHP70-65 (Brand: HAMWORTHY)","0","0","0","1","0"
"4","application","2","0","0","0","1","0"
"4","indoor","0","0","0","0","1","0"
"4","outdoor","1","0","0","0","1","0"
"4","coolingMode7c12c","0","0","0","0","1","0"
"4","coolingMode18c23c","0","0","0","0","1","0"
"4","colderClimate","0","0","0","0","1","0"
"4","warmerClimate","0","0","0","0","1","0"
"4","reversibility","1","0","0","0","1","0"
"4","colderForHeating","0","0","0","0","1","0"
"4","warmerForHeating","0","0","0","0","1","0"
"4","en145112Certification","0","0","0","0","1","0"
"4","heatSource","0","0","0","0","1","0"
"4","additionalOutdoorAir","0","0","0","0","1","0"
"4","additionalExhaustAir","0","0","0","0","1","0"
"4","additionalIndoorAir","0","0","0","0","1","0"
"4","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"4","powerSupply","0","0","0","0","1","0"
"4","offPeakProduct","0","0","0","0","1","0"
"4","EN14511_2_001","40.89","4","10","0","2","0"
"4","EN14511_2_001","38.32","5","10","0","2","0"
"4","EN14511_2_002","8.89","4","10","0","2","0"
"4","EN14511_2_002","11.88","5","10","0","2","0"
"4","EN14511_2_003","4.60","4","10","0","2","0"
"4","EN14511_2_003","3.23","5","10","0","2","0"
"4","EN14511_4_003","2","0","10","0","2","0"
"4","EN14511_4_004","2","0","10","0","2","0"
"4","EN14511_4_005","2","0","10","0","2","0"
"4","EN14511_4_006","2","0","10","0","2","0"
"4","EN12102_1_002","75","4","3","0","2","0"
"4","EN12102_1_002","75","5","3","0","2","0"
"4","EN14825_001","160","4","3","0","2","0"
"4","EN14825_001","130","5","3","0","2","0"
"4","EN14825_002","59.59","4","3","0","2","0"
"4","EN14825_002","56.56","5","3","0","2","0"
"4","EN14825_003","4.08","4","3","0","2","0"
"4","EN14825_003","3.32","5","3","0","2","0"
"4","EN14825_004","-7","4","3","0","2","0"
"4","EN14825_004","-7","5","3","0","2","0"
"4","EN14825_005","-10","4","3","0","2","0"
"4","EN14825_005","-10","5","3","0","2","0"
"4","EN14825_008","52.71","4","3","0","2","0"
"4","EN14825_008","50.03","5","3","0","2","0"
"4","EN14825_009","3.07","4","3","0","2","0"
"4","EN14825_009","2.28","5","3","0","2","0"
"4","EN14825_047","1.000","4","3","0","2","0"
"4","EN14825_047","1.000","5","3","0","2","0"
"4","EN14825_010","34.05","4","3","0","2","0"
"4","EN14825_010","32.87","5","3","0","2","0"
"4","EN14825_011","3.99","4","3","0","2","0"
"4","EN14825_011","3.25","5","3","0","2","0"
"4","EN14825_048","1.000","4","3","0","2","0"
"4","EN14825_048","1.000","5","3","0","2","0"
"4","EN14825_012","42.00","4","3","0","2","0"
"4","EN14825_012","40.23","5","3","0","2","0"
"4","EN14825_013","5.10","4","3","0","2","0"
"4","EN14825_013","4.24","5","3","0","2","0"
"4","EN14825_049","0.969","4","3","0","2","0"
"4","EN14825_049","0.976","5","3","0","2","0"
"4","EN14825_014","48.12","4","3","0","2","0"
"4","EN14825_014","46.47","5","3","0","2","0"
"4","EN14825_015","5.80","4","3","0","2","0"
"4","EN14825_015","5.06","5","3","0","2","0"
"4","EN14825_050","0.967","4","3","0","2","0"
"4","EN14825_050","0.975","5","3","0","2","0"
"4","EN14825_016","52.71","4","3","0","2","0"
"4","EN14825_016","50.03","5","3","0","2","0"
"4","EN14825_017","3.07","4","3","0","2","0"
"4","EN14825_017","2.28","5","3","0","2","0"
"4","EN14825_018","49.47","4","3","0","2","0"
"4","EN14825_018","47.32","5","3","0","2","0"
"4","EN14825_019","2.90","4","3","0","2","0"
"4","EN14825_019","2.14","5","3","0","2","0"
"4","EN14825_021","1.000","4","3","0","2","0"
"4","EN14825_021","1.000","5","3","0","2","0"
"4","EN14825_022","70","4","3","0","2","0"
"4","EN14825_022","70","5","3","0","2","0"
"4","EN14825_023","183","4","3","0","2","0"
"4","EN14825_023","183","5","3","0","2","0"
"4","EN14825_024","276","4","3","0","2","0"
"4","EN14825_024","231","5","3","0","2","0"
"4","EN14825_025","183","4","3","0","2","0"
"4","EN14825_025","183","5","3","0","2","0"
"4","EN14825_026","0","4","3","0","2","0"
"4","EN14825_026","0","5","3","0","2","0"
"4","EN14825_027","0","4","3","0","2","0"
"4","EN14825_027","0","5","3","0","2","0"
"4","EN14825_028","10.11","4","3","0","2","0"
"4","EN14825_028","9.24","5","3","0","2","0"
"4","EN14825_029","30212","4","3","0","2","0"
"4","EN14825_029","35240","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","4,350 kg","0","0","0","0"
"","Date","07.11.2024","0","0","0","0"
"","Manufacturer"," GUILLOT INDUSTRIES SAS - Groupe ATLANTIC ","0","0","0","0"
"","Modelname","AHP70-65","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
