"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","ISILIA M 11 ","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","8.23","4","10","0","2","0"
"","EN14511_2_001","7.89","5","10","0","2","0"
"","EN14511_2_002","1.61","4","10","0","2","0"
"","EN14511_2_002","2.33","5","10","0","2","0"
"","EN14511_2_003","5.11","4","10","0","2","0"
"","EN14511_2_003","3.39","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","55","4","3","0","2","0"
"","EN12102_1_002","55","5","3","0","2","0"
"","EN14825_001","184","4","3","0","2","0"
"","EN14825_001","147","5","3","0","2","0"
"","EN14825_002","7.60","4","3","0","2","0"
"","EN14825_002","7.20","5","3","0","2","0"
"","EN14825_003","4.67","4","3","0","2","0"
"","EN14825_003","3.74","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","6.70","4","3","0","2","0"
"","EN14825_008","6.40","5","3","0","2","0"
"","EN14825_009","2.75","4","3","0","2","0"
"","EN14825_009","2.27","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","4.10","4","3","0","2","0"
"","EN14825_010","3.90","5","3","0","2","0"
"","EN14825_011","4.59","4","3","0","2","0"
"","EN14825_011","3.54","5","3","0","2","0"
"","EN14825_048","0.980","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","3.00","4","3","0","2","0"
"","EN14825_012","2.90","5","3","0","2","0"
"","EN14825_013","6.93","4","3","0","2","0"
"","EN14825_013","5.35","5","3","0","2","0"
"","EN14825_049","0.970","4","3","0","2","0"
"","EN14825_049","0.980","5","3","0","2","0"
"","EN14825_014","2.90","4","3","0","2","0"
"","EN14825_014","3.40","5","3","0","2","0"
"","EN14825_015","7.06","4","3","0","2","0"
