"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","ALSAVO HEAT 16i9T","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","16.18","4","10","0","2","0"
"","EN14511_2_001","16.27","5","10","0","2","0"
"","EN14511_2_002","3.40","4","10","0","2","0"
"","EN14511_2_002","5.10","5","10","0","2","0"
"","EN14511_2_003","4.70","4","10","0","2","0"
"","EN14511_2_003","3.20","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","61","4","3","0","2","0"
"","EN12102_1_002","61","5","3","0","2","0"
"","EN14825_001","175","4","3","0","2","0"
"","EN14825_001","136","5","3","0","2","0"
"","EN14825_002","12.20","4","3","0","2","0"
"","EN14825_002","12.66","5","3","0","2","0"
"","EN14825_003","4.46","4","3","0","2","0"
"","EN14825_003","3.49","5","3","0","2","0"
"","EN14825_004","-10","4","3","0","2","0"
"","EN14825_004","-10","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.77","4","3","0","2","0"
"","EN14825_008","11.33","5","3","0","2","0"
"","EN14825_009","3.30","4","3","0","2","0"
"","EN14825_009","2.46","5","3","0","2","0"
"","EN14825_047","0.950","4","3","0","2","0"
"","EN14825_047","0.960","5","3","0","2","0"
"","EN14825_010","6.50","4","3","0","2","0"
"","EN14825_010","6.87","5","3","0","2","0"
"","EN14825_011","4.32","4","3","0","2","0"
"","EN14825_011","3.60","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.910","5","3","0","2","0"
"","EN14825_012","7.61","4","3","0","2","0"
"","EN14825_012","6.41","5","3","0","2","0"
"","EN14825_013","5.88","4","3","0","2","0"
"","EN14825_013","3.90","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","9.11","4","3","0","2","0"
"","EN14825_014","9.04","5","3","0","2","0"
"","EN14825_015","7.87","4","3","0","2","0"
"","EN14825_015","6.92","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","12.20","4","3","0","2","0"
"","EN14825_016","12.65","5","3","0","2","0"
"","EN14825_017","2.94","4","3","0","2","0"
"","EN14825_017","2.15","5","3","0","2","0"
"","EN14825_018","12.20","4","3","0","2","0"
"","EN14825_018","12.65","5","3","0","2","0"
"","EN14825_019","2.94","4","3","0","2","0"
"","EN14825_019","2.15","5","3","0","2","0"
"","EN14825_021","0.960","4","3","0","2","0"
"","EN14825_021","0.970","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","6","4","3","0","2","0"
"","EN14825_023","6","5","3","0","2","0"
"","EN14825_024","6","4","3","0","2","0"
"","EN14825_024","6","5","3","0","2","0"
"","EN14825_025","6","4","3","0","2","0"
"","EN14825_025","6","5","3","0","2","0"
"","EN14825_026","58","4","3","0","2","0"
"","EN14825_026","58","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","5654","4","3","0","2","0"
"","EN14825_029","7502","5","3","0","2","0"
"","title","XAH16Csi9T ","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","16.18","4","10","0","2","0"
"","EN14511_2_001","16.27","5","10","0","2","0"
"","EN14511_2_002","3.40","4","10","0","2","0"
"","EN14511_2_002","5.10","5","10","0","2","0"
"","EN14511_2_003","4.70","4","10","0","2","0"
"","EN14511_2_003","3.20","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","61","4","3","0","2","0"
"","EN12102_1_002","61","5","3","0","2","0"
"","EN14825_001","175","4","3","0","2","0"
"","EN14825_001","136","5","3","0","2","0"
"","EN14825_002","12.20","4","3","0","2","0"
"","EN14825_002","12.66","5","3","0","2","0"
"","EN14825_003","4.46","4","3","0","2","0"
"","EN14825_003","3.49","5","3","0","2","0"
"","EN14825_004","-10","4","3","0","2","0"
"","EN14825_004","-10","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.77","4","3","0","2","0"
"","EN14825_008","11.33","5","3","0","2","0"
"","EN14825_009","3.30","4","3","0","2","0"
"","EN14825_009","2.46","5","3","0","2","0"
"","EN14825_047","0.950","4","3","0","2","0"
"","EN14825_047","0.960","5","3","0","2","0"
"","EN14825_010","6.50","4","3","0","2","0"
"","EN14825_010","6.87","5","3","0","2","0"
"","EN14825_011","4.32","4","3","0","2","0"
"","EN14825_011","3.60","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.910","5","3","0","2","0"
"","EN14825_012","7.61","4","3","0","2","0"
"","EN14825_012","6.41","5","3","0","2","0"
"","EN14825_013","5.88","4","3","0","2","0"
"","EN14825_013","3.90","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","9.11","4","3","0","2","0"
"","EN14825_014","9.04","5","3","0","2","0"
"","EN14825_015","7.87","4","3","0","2","0"
"","EN14825_015","6.92","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","12.20","4","3","0","2","0"
"","EN14825_016","12.65","5","3","0","2","0"
"","EN14825_017","2.94","4","3","0","2","0"
"","EN14825_017","2.15","5","3","0","2","0"
"","EN14825_018","12.20","4","3","0","2","0"
"","EN14825_018","12.65","5","3","0","2","0"
"","EN14825_019","2.94","4","3","0","2","0"
"","EN14825_019","2.15","5","3","0","2","0"
"","EN14825_021","0.960","4","3","0","2","0"
"","EN14825_021","0.970","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","6","4","3","0","2","0"
"","EN14825_023","6","5","3","0","2","0"
"","EN14825_024","6","4","3","0","2","0"
"","EN14825_024","6","5","3","0","2","0"
"","EN14825_025","6","4","3","0","2","0"
"","EN14825_025","6","5","3","0","2","0"
"","EN14825_026","58","4","3","0","2","0"
"","EN14825_026","58","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","5654","4","3","0","2","0"
"","EN14825_029","7502","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","1,300 kg","0","0","0","0"
"","Date","22.11.2024","0","0","0","0"
"","Manufacturer"," Foshan Shunde Zealux Electrical Appliances Co., Ltd. ","0","0","0","0"
"","Modelname","Monoblock A2W Heat Pump 16kw R290 three_phase","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
