"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","MX290-40T","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","1","0","0","0","1","0"
"1","warmerForHeating","1","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","39.00","4","10","0","2","0"
"1","EN14511_2_001","39.00","5","10","0","2","0"
"1","EN14511_2_002","9.75","4","10","0","2","0"
"1","EN14511_2_002","14.00","5","10","0","2","0"
"1","EN14511_2_003","4.00","4","10","0","2","0"
"1","EN14511_2_003","2.79","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","76","4","1","0","2","0"
"1","EN12102_1_002","76","5","1","0","2","0"
"1","EN12102_1_002","76","4","2","0","2","0"
"1","EN12102_1_002","76","5","2","0","2","0"
"1","EN12102_1_002","76","4","3","0","2","0"
"1","EN12102_1_002","76","5","3","0","2","0"
"1","EN14825_001","210.80","4","1","0","2","0"
"1","EN14825_001","177.10","5","1","0","2","0"
"1","EN14825_001","151","4","2","0","2","0"
"1","EN14825_001","117","5","2","0","2","0"
"1","EN14825_001","165.1","4","3","0","2","0"
"1","EN14825_001","132.5","5","3","0","2","0"
"1","EN14825_002","39.00","4","1","0","2","0"
"1","EN14825_002","39.00","5","1","0","2","0"
"1","EN14825_002","34.0","4","2","0","2","0"
"1","EN14825_002","33.5","5","2","0","2","0"
"1","EN14825_002","39.0","4","3","0","2","0"
"1","EN14825_002","39.0","5","3","0","2","0"
"1","EN14825_003","5.35","4","1","0","2","0"
"1","EN14825_003","4.50","5","1","0","2","0"
"1","EN14825_003","3.84","4","2","0","2","0"
"1","EN14825_003","3.00","5","2","0","2","0"
"1","EN14825_003","4.20","4","3","0","2","0"
"1","EN14825_003","3.39","5","3","0","2","0"
"1","EN14825_004","7.00","4","1","0","2","0"
"1","EN14825_004","7.00","5","1","0","2","0"
"1","EN14825_004","-7.00","4","2","0","2","0"
"1","EN14825_004","-7.00","5","2","0","2","0"
"1","EN14825_004","-5","4","3","0","2","0"
"1","EN14825_004","-5","5","3","0","2","0"
"1","EN14825_005","2.00","4","1","0","2","0"
"1","EN14825_005","2.00","5","1","0","2","0"
"1","EN14825_005","-22.00","4","2","0","2","0"
"1","EN14825_005","-22.00","5","2","0","2","0"
"1","EN14825_005","-10.00","4","3","0","2","0"
"1","EN14825_005","-10.00","5","3","0","2","0"
"1","EN14825_008","19.57","4","2","0","2","0"
"1","EN14825_008","19.91","5","2","0","2","0"
"1","EN14825_008","31.37","4","3","0","2","0"
"1","EN14825_008","32.08","5","3","0","2","0"
"1","EN14825_009","3.14","4","2","0","2","0"
"1","EN14825_009","2.43","5","2","0","2","0"
"1","EN14825_009","2.53","4","3","0","2","0"
"1","EN14825_009","1.83","5","3","0","2","0"
"1","EN14825_047","0.90","4","2","0","2","0"
"1","EN14825_047","0.90","5","2","0","2","0"
"1","EN14825_047","0.90","4","3","0","2","0"
"1","EN14825_047","0.90","5","3","0","2","0"
"1","EN14825_010","33.03","4","1","0","2","0"
"1","EN14825_010","32.88","5","1","0","2","0"
"1","EN14825_010","12.29","4","2","0","2","0"
"1","EN14825_010","11.47","5","2","0","2","0"
"1","EN14825_010","20.72","4","3","0","2","0"
"1","EN14825_010","19.72","5","3","0","2","0"
"1","EN14825_011","2.44","4","1","0","2","0"
