"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","Acond Aconomis R","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","8.55","4","10","0","2","0"
"","EN14511_2_001","7.76","5","10","0","2","0"
"","EN14511_2_002","1.67","4","10","0","2","0"
"","EN14511_2_002","2.39","5","10","0","2","0"
"","EN14511_2_003","5.12","4","10","0","2","0"
"","EN14511_2_003","3.24","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","0","4","1","0","2","0"
"","EN12102_1_001","0","5","1","0","2","0"
"","EN12102_1_001","0","4","2","0","2","0"
"","EN12102_1_001","0","5","2","0","2","0"
"","EN12102_1_001","0","4","3","0","2","0"
"","EN12102_1_001","0","5","3","0","2","0"
"","EN12102_1_002","0","4","1","0","2","0"
"","EN12102_1_002","57","5","1","0","2","0"
"","EN12102_1_002","0","4","2","0","2","0"
"","EN12102_1_002","57","5","2","0","2","0"
"","EN12102_1_002","0","4","3","0","2","0"
"","EN12102_1_002","57","5","3","0","2","0"
"","EN14825_001","251","4","1","0","2","0"
"","EN14825_001","169","5","1","0","2","0"
"","EN14825_001","151","4","2","0","2","0"
"","EN14825_001","120","5","2","0","2","0"
"","EN14825_001","194","4","3","0","2","0"
"","EN14825_001","152","5","3","0","2","0"
"","EN14825_002","11.40","4","1","0","2","0"
"","EN14825_002","10.80","5","1","0","2","0"
"","EN14825_002","21.80","4","2","0","2","0"
"","EN14825_002","21.00","5","2","0","2","0"
"","EN14825_002","15.40","4","3","0","2","0"
"","EN14825_002","14.15","5","3","0","2","0"
"","EN14825_003","6.34","4","1","0","2","0"
"","EN14825_003","4.30","5","1","0","2","0"
"","EN14825_003","3.85","4","2","0","2","0"
"","EN14825_003","3.07","5","2","0","2","0"
"","EN14825_003","4.92","4","3","0","2","0"
"","EN14825_003","3.86","5","3","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","-7","4","2","0","2","0"
"","EN14825_004","-7","5","2","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-22","4","2","0","2","0"
"","EN14825_005","-22","5","2","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","13.17","4","2","0","2","0"
"","EN14825_008","12.68","5","2","0","2","0"
"","EN14825_008","13.60","4","3","0","2","0"
"","EN14825_008","12.50","5","3","0","2","0"
"","EN14825_009","3.25","4","2","0","2","0"
"","EN14825_009","2.46","5","2","0","2","0"
"","EN14825_009","3.00","4","3","0","2","0"
