"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","Indoor unit: KFS-120B/EN8SBP and outdoor unit: KFS-120W/N8SBP ","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","12.10","4","10","0","2","0"
"","EN14511_2_001","11.70","5","10","0","2","0"
"","EN14511_2_002","2.68","4","10","0","2","0"
"","EN14511_2_002","4.30","5","10","0","2","0"
"","EN14511_2_003","4.52","4","10","0","2","0"
"","EN14511_2_003","2.72","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","42","4","3","0","2","0"
"","EN12102_1_001","42","5","3","0","2","0"
"","EN12102_1_002","60","4","3","0","2","0"
"","EN12102_1_002","64","5","3","0","2","0"
"","EN14825_001","185","4","3","0","2","0"
"","EN14825_001","136","5","3","0","2","0"
"","EN14825_002","11.30","4","3","0","2","0"
"","EN14825_002","10.70","5","3","0","2","0"
"","EN14825_003","4.70","4","3","0","2","0"
"","EN14825_003","3.47","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.02","4","3","0","2","0"
"","EN14825_008","9.45","5","3","0","2","0"
"","EN14825_009","2.59","4","3","0","2","0"
"","EN14825_009","2.01","5","3","0","2","0"
"","EN14825_047","1.000","4","3","0","2","0"
"","EN14825_047","1.000","5","3","0","2","0"
"","EN14825_010","6.07","4","3","0","2","0"
"","EN14825_010","6.21","5","3","0","2","0"
"","EN14825_011","4.38","4","3","0","2","0"
"","EN14825_011","3.27","5","3","0","2","0"
"","EN14825_048","0.990","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","4.21","4","3","0","2","0"
"","EN14825_012","3.99","5","3","0","2","0"
"","EN14825_013","7.28","4","3","0","2","0"
"","EN14825_013","4.86","5","3","0","2","0"
"","EN14825_049","0.970","4","3","0","2","0"
"","EN14825_049","0.980","5","3","0","2","0"
"","EN14825_014","4.94","4","3","0","2","0"
"","EN14825_014","4.41","5","3","0","2","0"
"","EN14825_015","10.57","4","3","0","2","0"
"","EN14825_015","7.42","5","3","0","2","0"
"","EN14825_050","0.960","4","3","0","2","0"
"","EN14825_050","0.970","5","3","0","2","0"
"","EN14825_016","10.02","4","3","0","2","0"
"","EN14825_016","9.45","5","3","0","2","0"
"","EN14825_017","2.59","4","3","0","2","0"
"","EN14825_017","2.01","5","3","0","2","0"
"","EN14825_018","9.64","4","3","0","2","0"
"","EN14825_018","9.37","5","3","0","2","0"
"","EN14825_019","2.41","4","3","0","2","0"
"","EN14825_019","1.78","5","3","0","2","0"
"","EN14825_021","1.000","4","3","0","2","0"
"","EN14825_021","1.000","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","10","4","3","0","2","0"
"","EN14825_023","10","5","3","0","2","0"
"","EN14825_024","19","4","3","0","2","0"
"","EN14825_024","19","5","3","0","2","0"
"","EN14825_025","10","4","3","0","2","0"
"","EN14825_025","10","5","3","0","2","0"
"","EN14825_026","28","4","3","0","2","0"
"","EN14825_026","28","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.68","4","3","0","2","0"
"","EN14825_028","1.31","5","3","0","2","0"
"","EN14825_029","4977","4","3","0","2","0"
"","EN14825_029","6353","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,750 kg","0","0","0","0"
"","Date","09.01.2025","0","0","0","0"
"","Manufacturer"," GZ AXEN Heat Pump Technology Co., Ltd.","0","0","0","0"
"","Modelname","Split Heat pump-R32 KFS-120*","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
