"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","WiSAN-P 25.2","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","70.20","4","10","0","2","0"
"","EN14511_2_001","65.90","5","10","0","2","0"
"","EN14511_2_002","17.95","4","10","0","2","0"
"","EN14511_2_002","24.05","5","10","0","2","0"
"","EN14511_2_003","3.91","4","10","0","2","0"
"","EN14511_2_003","2.74","5","10","0","2","0"
"","EN12102_1_002","78","4","3","0","2","0"
"","EN12102_1_002","78","5","3","0","2","0"
"","EN14825_001","185","4","3","0","2","0"
"","EN14825_001","142","5","3","0","2","0"
"","EN14825_002","52.45","4","3","0","2","0"
"","EN14825_002","49.63","5","3","0","2","0"
"","EN14825_003","4.70","4","3","0","2","0"
"","EN14825_003","3.63","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","46.40","4","3","0","2","0"
"","EN14825_008","43.90","5","3","0","2","0"
"","EN14825_009","2.67","4","3","0","2","0"
"","EN14825_009","1.97","5","3","0","2","0"
"","EN14825_010","28.10","4","3","0","2","0"
"","EN14825_010","26.70","5","3","0","2","0"
"","EN14825_011","4.74","4","3","0","2","0"
"","EN14825_011","3.63","5","3","0","2","0"
"","EN14825_012","24.20","4","3","0","2","0"
"","EN14825_012","22.80","5","3","0","2","0"
"","EN14825_013","6.68","4","3","0","2","0"
"","EN14825_013","5.30","5","3","0","2","0"
"","EN14825_014","27.20","4","3","0","2","0"
"","EN14825_014","26.00","5","3","0","2","0"
"","EN14825_015","8.02","4","3","0","2","0"
"","EN14825_015","7.04","5","3","0","2","0"
"","EN14825_016","46.40","4","3","0","2","0"
"","EN14825_016","43.90","5","3","0","2","0"
"","EN14825_017","2.67","4","3","0","2","0"
"","EN14825_017","1.97","5","3","0","2","0"
"","EN14825_018","50.30","4","3","0","2","0"
"","EN14825_018","48.00","5","3","0","2","0"
"","EN14825_019","2.08","4","3","0","2","0"
"","EN14825_019","1.53","5","3","0","2","0"
"","EN14825_022","35","4","3","0","2","0"
"","EN14825_022","55","5","3","0","2","0"
"","EN14825_023","180","4","3","0","2","0"
"","EN14825_023","180","5","3","0","2","0"
"","EN14825_024","310","4","3","0","2","0"
"","EN14825_024","310","5","3","0","2","0"
"","EN14825_025","180","4","3","0","2","0"
"","EN14825_025","180","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","0","4","3","0","2","0"
"","EN14825_027","0","5","3","0","2","0"
"","EN14825_028","2.15","4","3","0","2","0"
"","EN14825_028","1.63","5","3","0","2","0"
"","EN14825_029","23112","4","3","0","2","0"
"","EN14825_029","28300","5","3","0","2","0"
"","title","WiSAN-P 30.2","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","84.40","4","10","0","2","0"
"","EN14511_2_001","76.50","5","10","0","2","0"
"","EN14511_2_002","22.57","4","10","0","2","0"
"","EN14511_2_002","29.77","5","10","0","2","0"
"","EN14511_2_003","3.74","4","10","0","2","0"
"","EN14511_2_003","2.57","5","10","0","2","0"
"","EN12102_1_002","79","4","3","0","2","0"
"","EN12102_1_002","79","5","3","0","2","0"
"","EN14825_001","179","4","3","0","2","0"
"","EN14825_001","141","5","3","0","2","0"
"","EN14825_002","61.27","4","3","0","2","0"
"","EN14825_002","55.05","5","3","0","2","0"
"","EN14825_003","4.54","4","3","0","2","0"
"","EN14825_003","3.60","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","54.20","4","3","0","2","0"
"","EN14825_008","48.70","5","3","0","2","0"
"","EN14825_009","2.53","4","3","0","2","0"
"","EN14825_009","1.90","5","3","0","2","0"
"","EN14825_010","34.40","4","3","0","2","0"
"","EN14825_010","29.00","5","3","0","2","0"
"","EN14825_011","4.51","4","3","0","2","0"
"","EN14825_011","3.59","5","3","0","2","0"
"","EN14825_012","24.20","4","3","0","2","0"
"","EN14825_012","22.80","5","3","0","2","0"
"","EN14825_013","6.68","4","3","0","2","0"
"","EN14825_013","5.30","5","3","0","2","0"
"","EN14825_014","27.20","4","3","0","2","0"
"","EN14825_014","26.00","5","3","0","2","0"
"","EN14825_015","8.02","4","3","0","2","0"
"","EN14825_015","7.04","5","3","0","2","0"
"","EN14825_016","54.20","4","3","0","2","0"
"","EN14825_016","48.70","5","3","0","2","0"
"","EN14825_017","2.53","4","3","0","2","0"
"","EN14825_017","1.90","5","3","0","2","0"
"","EN14825_018","50.30","4","3","0","2","0"
"","EN14825_018","48.00","5","3","0","2","0"
"","EN14825_019","2.08","4","3","0","2","0"
"","EN14825_019","1.53","5","3","0","2","0"
"","EN14825_022","35","4","3","0","2","0"
"","EN14825_022","55","5","3","0","2","0"
"","EN14825_023","180","4","3","0","2","0"
"","EN14825_023","180","5","3","0","2","0"
"","EN14825_024","370","4","3","0","2","0"
"","EN14825_024","370","5","3","0","2","0"
"","EN14825_025","180","4","3","0","2","0"
"","EN14825_025","180","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","0","4","3","0","2","0"
"","EN14825_027","0","5","3","0","2","0"
"","EN14825_028","10.97","4","3","0","2","0"
"","EN14825_028","7.05","5","3","0","2","0"
"","EN14825_029","27948","4","3","0","2","0"
"","EN14825_029","31660","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","10,000 kg","0","0","0","0"
"","Date","04.06.2025","0","0","0","0"
"","Manufacturer"," Clivet s.p.a.","0","0","0","0"
"","Modelname","Thunder 25.2 - 30.2","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
