"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title"," HP1-10-E","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","9.59","4","10","0","2","0"
"","EN14511_2_001","9.69","5","10","0","2","0"
"","EN14511_2_002","1.98","4","10","0","2","0"
"","EN14511_2_002","3.20","5","10","0","2","0"
"","EN14511_2_003","4.84","4","10","0","2","0"
"","EN14511_2_003","3.03","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","52","4","3","0","2","0"
"","EN12102_1_002","52","5","3","0","2","0"
"","EN14825_001","194","4","3","0","2","0"
"","EN14825_001","151","5","3","0","2","0"
"","EN14825_002","10.03","4","3","0","2","0"
"","EN14825_002","10.01","5","3","0","2","0"
"","EN14825_003","4.93","4","3","0","2","0"
"","EN14825_003","3.85","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.88","4","3","0","2","0"
"","EN14825_008","8.86","5","3","0","2","0"
"","EN14825_009","2.81","4","3","0","2","0"
"","EN14825_009","2.31","5","3","0","2","0"
"","EN14825_047","0.994","4","3","0","2","0"
"","EN14825_047","0.996","5","3","0","2","0"
"","EN14825_010","5.52","4","3","0","2","0"
"","EN14825_010","5.38","5","3","0","2","0"
"","EN14825_011","4.87","4","3","0","2","0"
"","EN14825_011","3.70","5","3","0","2","0"
"","EN14825_048","0.986","4","3","0","2","0"
"","EN14825_048","0.989","5","3","0","2","0"
"","EN14825_012","5.12","4","3","0","2","0"
"","EN14825_012","4.95","5","3","0","2","0"
"","EN14825_013","6.70","4","3","0","2","0"
"","EN14825_013","5.16","5","3","0","2","0"
"","EN14825_049","0.979","4","3","0","2","0"
"","EN14825_049","0.983","5","3","0","2","0"
"","EN14825_014","6.01","4","3","0","2","0"
"","EN14825_014","5.73","5","3","0","2","0"
"","EN14825_015","8.40","4","3","0","2","0"
"","EN14825_015","7.58","5","3","0","2","0"
"","EN14825_050","0.978","4","3","0","2","0"
"","EN14825_050","0.979","5","3","0","2","0"
"","EN14825_016","8.88","4","3","0","2","0"
"","EN14825_016","8.86","5","3","0","2","0"
"","EN14825_017","2.81","4","3","0","2","0"
"","EN14825_017","2.31","5","3","0","2","0"
"","EN14825_018","9.94","4","3","0","2","0"
"","EN14825_018","9.97","5","3","0","2","0"
"","EN14825_019","2.77","4","3","0","2","0"
"","EN14825_019","2.07","5","3","0","2","0"
"","EN14825_021","0.996","4","3","0","2","0"
"","EN14825_021","0.996","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","16","4","3","0","2","0"
"","EN14825_023","16","5","3","0","2","0"
"","EN14825_024","16","4","3","0","2","0"
"","EN14825_024","16","5","3","0","2","0"
"","EN14825_025","16","4","3","0","2","0"
"","EN14825_025","16","5","3","0","2","0"
"","EN14825_026","52","4","3","0","2","0"
"","EN14825_026","52","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.09","4","3","0","2","0"
"","EN14825_028","0.04","5","3","0","2","0"
"","EN14825_029","4209","4","3","0","2","0"
"","EN14825_029","5369","5","3","0","2","0"
"","title","HP1-10P-E","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","9.55","4","10","0","2","0"
"","EN14511_2_001","9.71","5","10","0","2","0"
"","EN14511_2_002","2.06","4","10","0","2","0"
"","EN14511_2_002","3.23","5","10","0","2","0"
"","EN14511_2_003","4.64","4","10","0","2","0"
"","EN14511_2_003","3.01","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","52","4","3","0","2","0"
"","EN12102_1_002","52","5","3","0","2","0"
"","EN14825_001","198","4","3","0","2","0"
"","EN14825_001","153","5","3","0","2","0"
"","EN14825_002","10.02","4","3","0","2","0"
"","EN14825_002","10.01","5","3","0","2","0"
"","EN14825_003","5.04","4","3","0","2","0"
"","EN14825_003","3.90","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.86","4","3","0","2","0"
"","EN14825_008","8.86","5","3","0","2","0"
"","EN14825_009","2.92","4","3","0","2","0"
"","EN14825_009","2.22","5","3","0","2","0"
"","EN14825_047","0.994","4","3","0","2","0"
"","EN14825_047","0.996","5","3","0","2","0"
"","EN14825_010","5.40","4","3","0","2","0"
"","EN14825_010","5.48","5","3","0","2","0"
"","EN14825_011","4.96","4","3","0","2","0"
"","EN14825_011","3.82","5","3","0","2","0"
"","EN14825_048","0.985","4","3","0","2","0"
"","EN14825_048","0.989","5","3","0","2","0"
"","EN14825_012","5.01","4","3","0","2","0"
"","EN14825_012","4.87","5","3","0","2","0"
"","EN14825_013","6.93","4","3","0","2","0"
"","EN14825_013","5.22","5","3","0","2","0"
"","EN14825_049","0.978","4","3","0","2","0"
"","EN14825_049","0.983","5","3","0","2","0"
"","EN14825_014","5.87","4","3","0","2","0"
"","EN14825_014","5.71","5","3","0","2","0"
"","EN14825_015","8.56","4","3","0","2","0"
"","EN14825_015","7.77","5","3","0","2","0"
"","EN14825_050","0.976","4","3","0","2","0"
"","EN14825_050","0.978","5","3","0","2","0"
"","EN14825_016","8.86","4","3","0","2","0"
"","EN14825_016","8.86","5","3","0","2","0"
"","EN14825_017","2.92","4","3","0","2","0"
"","EN14825_017","2.22","5","3","0","2","0"
"","EN14825_018","9.87","4","3","0","2","0"
"","EN14825_018","9.96","5","3","0","2","0"
"","EN14825_019","2.45","4","3","0","2","0"
"","EN14825_019","1.93","5","3","0","2","0"
"","EN14825_021","0.996","4","3","0","2","0"
"","EN14825_021","0.997","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","16","4","3","0","2","0"
"","EN14825_023","16","5","3","0","2","0"
"","EN14825_024","16","4","3","0","2","0"
"","EN14825_024","16","5","3","0","2","0"
"","EN14825_025","16","4","3","0","2","0"
"","EN14825_025","16","5","3","0","2","0"
"","EN14825_026","52","4","3","0","2","0"
"","EN14825_026","52","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.15","4","3","0","2","0"
"","EN14825_028","0.05","5","3","0","2","0"
"","EN14825_029","4109","4","3","0","2","0"
"","EN14825_029","5304","5","3","0","2","0"
"","title","HP1-12-E","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
