"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","HM513MR UXC0 / PHCSL0 ENCXLEU","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","51.00","4","10","0","2","0"
"","EN14511_2_001","51.00","5","10","0","2","0"
"","EN14511_2_002","11.86","4","10","0","2","0"
"","EN14511_2_002","17.71","5","10","0","2","0"
"","EN14511_2_003","4.30","4","10","0","2","0"
"","EN14511_2_003","2.88","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","82","4","3","0","2","0"
"","EN12102_1_002","82","5","3","0","2","0"
"","EN14825_001","167","4","3","0","2","0"
"","EN14825_001","125","5","3","0","2","0"
"","EN14825_002","42.00","4","3","0","2","0"
"","EN14825_002","40.00","5","3","0","2","0"
"","EN14825_003","4.26","4","3","0","2","0"
"","EN14825_003","3.21","5","3","0","2","0"
"","EN14825_004","-10","4","3","0","2","0"
"","EN14825_004","-10","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","36.90","4","3","0","2","0"
"","EN14825_008","35.40","5","3","0","2","0"
"","EN14825_009","2.57","4","3","0","2","0"
"","EN14825_009","1.89","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","22.60","4","3","0","2","0"
"","EN14825_010","21.00","5","3","0","2","0"
"","EN14825_011","4.00","4","3","0","2","0"
"","EN14825_011","2.99","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","14.50","4","3","0","2","0"
"","EN14825_012","13.90","5","3","0","2","0"
"","EN14825_013","6.19","4","3","0","2","0"
"","EN14825_013","4.78","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","9.00","4","3","0","2","0"
"","EN14825_014","9.00","5","3","0","2","0"
"","EN14825_015","6.69","4","3","0","2","0"
"","EN14825_015","5.41","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","42.00","4","3","0","2","0"
"","EN14825_016","40.00","5","3","0","2","0"
"","EN14825_017","2.51","4","3","0","2","0"
"","EN14825_017","1.76","5","3","0","2","0"
"","EN14825_018","42.00","4","3","0","2","0"
"","EN14825_018","40.00","5","3","0","2","0"
"","EN14825_019","2.51","4","3","0","2","0"
"","EN14825_019","1.76","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","65","4","3","0","2","0"
"","EN14825_022","65","5","3","0","2","0"
"","EN14825_023","20","4","3","0","2","0"
"","EN14825_023","20","5","3","0","2","0"
"","EN14825_024","20","4","3","0","2","0"
"","EN14825_024","20","5","3","0","2","0"
"","EN14825_025","20","4","3","0","2","0"
"","EN14825_025","20","5","3","0","2","0"
"","EN14825_026","100","4","3","0","2","0"
"","EN14825_026","100","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","20379","4","3","0","2","0"
"","EN14825_029","25779","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","10,000 kg","0","0","0","0"
"","Date","21.05.2025","0","0","0","0"
"","Manufacturer"," LG Electronics Inc.","0","0","0","0"
"","Modelname","R32 monobloc 51 kW","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
