"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","Indoor unit: KFS-100B/EN8BP and outdoor unit: KFS-100W/N8BP","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","9.70","4","10","0","2","0"
"","EN14511_2_001","9.90","5","10","0","2","0"
"","EN14511_2_002","2.10","4","10","0","2","0"
"","EN14511_2_002","3.58","5","10","0","2","0"
"","EN14511_2_003","4.61","4","10","0","2","0"
"","EN14511_2_003","2.77","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","42","4","3","0","2","0"
"","EN12102_1_001","42","5","3","0","2","0"
"","EN12102_1_002","59","4","3","0","2","0"
"","EN12102_1_002","60","5","3","0","2","0"
"","EN14825_001","189","4","3","0","2","0"
"","EN14825_001","126","5","3","0","2","0"
"","EN14825_002","8.90","4","3","0","2","0"
"","EN14825_002","8.10","5","3","0","2","0"
"","EN14825_003","4.81","4","3","0","2","0"
"","EN14825_003","3.22","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","7.90","4","3","0","2","0"
"","EN14825_008","7.23","5","3","0","2","0"
"","EN14825_009","2.87","4","3","0","2","0"
"","EN14825_009","2.05","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","1.000","5","3","0","2","0"
"","EN14825_010","4.95","4","3","0","2","0"
"","EN14825_010","3.98","5","3","0","2","0"
"","EN14825_011","4.61","4","3","0","2","0"
"","EN14825_011","3.12","5","3","0","2","0"
"","EN14825_048","0.990","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","3.69","4","3","0","2","0"
"","EN14825_012","3.67","5","3","0","2","0"
"","EN14825_013","6.43","4","3","0","2","0"
"","EN14825_013","4.42","5","3","0","2","0"
"","EN14825_049","0.970","4","3","0","2","0"
"","EN14825_049","0.980","5","3","0","2","0"
"","EN14825_014","3.58","4","3","0","2","0"
"","EN14825_014","4.49","5","3","0","2","0"
"","EN14825_015","9.75","4","3","0","2","0"
"","EN14825_015","6.96","5","3","0","2","0"
"","EN14825_050","0.950","4","3","0","2","0"
"","EN14825_050","0.970","5","3","0","2","0"
"","EN14825_016","7.90","4","3","0","2","0"
"","EN14825_016","7.23","5","3","0","2","0"
"","EN14825_017","2.87","4","3","0","2","0"
"","EN14825_017","2.05","5","3","0","2","0"
"","EN14825_018","7.37","4","3","0","2","0"
