"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Johnson AURUM160M","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","14.52","4","10","0","2","0"
"1","EN14511_2_001","14.83","5","10","0","2","0"
"1","EN14511_2_002","3.17","4","10","0","2","0"
"1","EN14511_2_002","4.88","5","10","0","2","0"
"1","EN14511_2_003","4.57","4","10","0","2","0"
"1","EN14511_2_003","3.04","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","68","4","3","0","2","0"
"1","EN12102_1_002","68","5","3","0","2","0"
"1","EN14825_001","177","4","3","0","2","0"
"1","EN14825_001","126","5","3","0","2","0"
"1","EN14825_002","10.49","4","3","0","2","0"
"1","EN14825_002","9.96","5","3","0","2","0"
"1","EN14825_003","4.51","4","3","0","2","0"
"1","EN14825_003","3.22","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","9.28","4","3","0","2","0"
"1","EN14825_008","8.81","5","3","0","2","0"
"1","EN14825_009","3.21","4","3","0","2","0"
"1","EN14825_009","2.16","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","5.88","4","3","0","2","0"
"1","EN14825_010","5.38","5","3","0","2","0"
"1","EN14825_011","4.36","4","3","0","2","0"
"1","EN14825_011","3.15","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","6.45","4","3","0","2","0"
"1","EN14825_012","5.87","5","3","0","2","0"
"1","EN14825_013","6.00","4","3","0","2","0"
"1","EN14825_013","4.30","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","6.22","4","3","0","2","0"
"1","EN14825_014","6.75","5","3","0","2","0"
"1","EN14825_015","8.03","4","3","0","2","0"
"1","EN14825_015","6.07","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","9.28","4","3","0","2","0"
"1","EN14825_016","8.81","5","3","0","2","0"
"1","EN14825_017","3.21","4","3","0","2","0"
"1","EN14825_017","2.16","5","3","0","2","0"
"1","EN14825_018","10.00","4","3","0","2","0"
"1","EN14825_018","9.86","5","3","0","2","0"
"1","EN14825_019","2.99","4","3","0","2","0"
"1","EN14825_019","2.10","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","51","4","3","0","2","0"
"1","EN14825_022","51","5","3","0","2","0"
"1","EN14825_023","12","4","3","0","2","0"
"1","EN14825_023","12","5","3","0","2","0"
"1","EN14825_024","15","4","3","0","2","0"
"1","EN14825_024","15","5","3","0","2","0"
"1","EN14825_025","12","4","3","0","2","0"
"1","EN14825_025","12","5","3","0","2","0"
"1","EN14825_026","42","4","3","0","2","0"
"1","EN14825_026","42","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.49","4","3","0","2","0"
"1","EN14825_028","0.10","5","3","0","2","0"
"1","EN14825_029","4808","4","3","0","2","0"
"1","EN14825_029","6390","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","2,800 kg","0","0","0","0"
"","Date","06.10.2023","0","0","0","0"
"","Manufacturer"," EAS Electric Smart Technology SL.","0","0","0","0"
"","Modelname","Johnson ASHP 160","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
