"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Acond Aconomis N","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","1","0","0","0","1","0"
"1","warmerForHeating","1","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","4.76","4","10","0","2","0"
"1","EN14511_2_001","4.10","5","10","0","2","0"
"1","EN14511_2_002","0.96","4","10","0","2","0"
"1","EN14511_2_002","1.33","5","10","0","2","0"
"1","EN14511_2_003","4.95","4","10","0","2","0"
"1","EN14511_2_003","3.08","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","0","4","1","0","2","0"
"1","EN12102_1_001","0","5","1","0","2","0"
"1","EN12102_1_001","0","4","2","0","2","0"
"1","EN12102_1_001","0","5","2","0","2","0"
"1","EN12102_1_001","0","4","3","0","2","0"
"1","EN12102_1_001","0","5","3","0","2","0"
"1","EN12102_1_002","0","4","1","0","2","0"
"1","EN12102_1_002","54","5","1","0","2","0"
"1","EN12102_1_002","0","4","2","0","2","0"
"1","EN12102_1_002","54","5","2","0","2","0"
"1","EN12102_1_002","0","4","3","0","2","0"
"1","EN12102_1_002","54","5","3","0","2","0"
"1","EN14825_001","240","4","1","0","2","0"
"1","EN14825_001","170","5","1","0","2","0"
"1","EN14825_001","152","4","2","0","2","0"
"1","EN14825_001","121","5","2","0","2","0"
"1","EN14825_001","188","4","3","0","2","0"
"1","EN14825_001","150","5","3","0","2","0"
"1","EN14825_002","6.50","4","1","0","2","0"
"1","EN14825_002","6.10","5","1","0","2","0"
"1","EN14825_002","10.50","4","2","0","2","0"
"1","EN14825_002","11.40","5","2","0","2","0"
"1","EN14825_002","7.65","4","3","0","2","0"
"1","EN14825_002","7.50","5","3","0","2","0"
"1","EN14825_003","6.06","4","1","0","2","0"
"1","EN14825_003","4.33","5","1","0","2","0"
"1","EN14825_003","3.87","4","2","0","2","0"
"1","EN14825_003","3.10","5","2","0","2","0"
"1","EN14825_003","4.77","4","3","0","2","0"
"1","EN14825_003","3.82","5","3","0","2","0"
"1","EN14825_004","2","4","1","0","2","0"
"1","EN14825_004","2","5","1","0","2","0"
"1","EN14825_004","-7","4","2","0","2","0"
"1","EN14825_004","-7","5","2","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","2","4","1","0","2","0"
"1","EN14825_005","2","5","1","0","2","0"
"1","EN14825_005","-22","4","2","0","2","0"
"1","EN14825_005","-22","5","2","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","6.37","4","2","0","2","0"
"1","EN14825_008","6.88","5","2","0","2","0"
"1","EN14825_008","6.78","4","3","0","2","0"
"1","EN14825_008","6.58","5","3","0","2","0"
"1","EN14825_009","3.33","4","2","0","2","0"
"1","EN14825_009","2.57","5","2","0","2","0"
"1","EN14825_009","3.05","4","3","0","2","0"
"1","EN14825_009","2.29","5","3","0","2","0"
"1","EN14825_047","0.900","4","2","0","2","0"
"1","EN14825_047","0.900","5","2","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","6.51","4","1","0","2","0"
"1","EN14825_010","6.05","5","1","0","2","0"
"1","EN14825_010","3.88","4","2","0","2","0"
"1","EN14825_010","4.19","5","2","0","2","0"
"1","EN14825_010","4.05","4","3","0","2","0"
"1","EN14825_010","4.00","5","3","0","2","0"
"1","EN14825_011","3.48","4","1","0","2","0"
"1","EN14825_011","2.47","5","1","0","2","0"
"1","EN14825_011","5.13","4","2","0","2","0"
"1","EN14825_011","4.12","5","2","0","2","0"
"1","EN14825_011","4.64","4","3","0","2","0"
"1","EN14825_011","3.81","5","3","0","2","0"
"1","EN14825_048","0.900","4","1","0","2","0"
"1","EN14825_048","0.900","5","1","0","2","0"
"1","EN14825_048","0.900","4","2","0","2","0"
"1","EN14825_048","0.900","5","2","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","4.19","4","1","0","2","0"
"1","EN14825_012","3.89","5","1","0","2","0"
"1","EN14825_012","2.49","4","2","0","2","0"
"1","EN14825_012","2.69","5","2","0","2","0"
"1","EN14825_012","2.65","4","3","0","2","0"
"1","EN14825_012","2.57","5","3","0","2","0"
"1","EN14825_013","5.46","4","1","0","2","0"
"1","EN14825_013","3.88","5","1","0","2","0"
"1","EN14825_013","7.06","4","2","0","2","0"
"1","EN14825_013","5.47","5","2","0","2","0"
"1","EN14825_013","6.37","4","3","0","2","0"
"1","EN14825_013","4.98","5","3","0","2","0"
"1","EN14825_049","0.900","4","1","0","2","0"
"1","EN14825_049","0.900","5","1","0","2","0"
"1","EN14825_049","0.900","4","2","0","2","0"
"1","EN14825_049","0.900","5","2","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","2.41","4","1","0","2","0"
"1","EN14825_014","2.33","5","1","0","2","0"
"1","EN14825_014","2.41","4","2","0","2","0"
