"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"3","title","AEROTOP EVO LN 105","0","0","0","1","0"
"3","application","1","0","0","0","1","0"
"3","indoor","0","0","0","0","1","0"
"3","outdoor","1","0","0","0","1","0"
"3","coolingMode7c12c","0","0","0","0","1","0"
"3","coolingMode18c23c","0","0","0","0","1","0"
"3","colderClimate","0","0","0","0","1","0"
"3","warmerClimate","0","0","0","0","1","0"
"3","reversibility","1","0","0","0","1","0"
"3","colderForHeating","0","0","0","0","1","0"
"3","warmerForHeating","0","0","0","0","1","0"
"3","en145112Certification","0","0","0","0","1","0"
"3","heatSource","0","0","0","0","1","0"
"3","additionalOutdoorAir","0","0","0","0","1","0"
"3","additionalExhaustAir","0","0","0","0","1","0"
"3","additionalIndoorAir","0","0","0","0","1","0"
"3","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"3","powerSupply","3","0","0","0","1","0"
"3","offPeakProduct","0","0","0","0","1","0"
"3","EN14511_2_001","81.90","4","10","0","2","0"
"3","EN14511_2_002","20.30","4","10","0","2","0"
"3","EN14511_2_003","4.04","4","10","0","2","0"
"3","EN12102_1_002","78","4","3","0","2","0"
"3","EN14825_001","159","4","3","0","2","0"
"3","EN14825_002","64.10","4","3","0","2","0"
"3","EN14825_003","4.05","4","3","0","2","0"
"3","EN14825_004","-7","4","3","0","2","0"
"3","EN14825_005","-10","4","3","0","2","0"
"3","EN14825_008","56.67","4","3","0","2","0"
"3","EN14825_009","2.65","4","3","0","2","0"
"3","EN14825_047","0.900","4","3","0","2","0"
"3","EN14825_010","33.07","4","3","0","2","0"
"3","EN14825_011","4.08","4","3","0","2","0"
"3","EN14825_048","0.900","4","3","0","2","0"
"3","EN14825_012","27.29","4","3","0","2","0"
"3","EN14825_013","5.40","4","3","0","2","0"
"3","EN14825_049","0.900","4","3","0","2","0"
"3","EN14825_014","40.91","4","3","0","2","0"
"3","EN14825_015","6.70","4","3","0","2","0"
"3","EN14825_050","0.900","4","3","0","2","0"
"3","EN14825_016","56.67","4","3","0","2","0"
"3","EN14825_017","2.65","4","3","0","2","0"
"3","EN14825_018","47.04","4","3","0","2","0"
"3","EN14825_019","2.03","4","3","0","2","0"
"3","EN14825_021","0.900","4","3","0","2","0"
"3","EN14825_022","35","4","3","0","2","0"
"3","EN14825_023","110","4","3","0","2","0"
"3","EN14825_024","200","4","3","0","2","0"
"3","EN14825_025","110","4","3","0","2","0"
"3","EN14825_026","10","4","3","0","2","0"
"3","EN14825_027","0","4","3","0","2","0"
"3","EN14825_028","17.02","4","3","0","2","0"
"3","EN14825_029","32639","4","3","0","2","0"
"1","title","AEROTOP EVO LN 79","0","0","0","1","0"
"1","application","1","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","68.60","4","10","0","2","0"
"1","EN14511_2_002","16.50","4","10","0","2","0"
"1","EN14511_2_003","4.16","4","10","0","2","0"
"1","EN12102_1_002","76","4","3","0","2","0"
"1","EN14825_001","161","4","3","0","2","0"
"1","EN14825_002","51.20","4","3","0","2","0"
"1","EN14825_003","4.10","4","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_008","45.26","4","3","0","2","0"
"1","EN14825_009","2.73","4","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_010","27.20","4","3","0","2","0"
"1","EN14825_011","4.23","4","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_012","27.29","4","3","0","2","0"
"1","EN14825_013","5.40","4","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_014","40.91","4","3","0","2","0"
"1","EN14825_015","6.70","4","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_016","45.26","4","3","0","2","0"
"1","EN14825_017","2.73","4","3","0","2","0"
"1","EN14825_018","39.29","4","3","0","2","0"
"1","EN14825_019","2.30","4","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_022","35","4","3","0","2","0"
"1","EN14825_023","110","4","3","0","2","0"
"1","EN14825_024","200","4","3","0","2","0"
"1","EN14825_025","110","4","3","0","2","0"
"1","EN14825_026","10","4","3","0","2","0"
"1","EN14825_027","0","4","3","0","2","0"
"1","EN14825_028","11.87","4","3","0","2","0"
"1","EN14825_029","25750","4","3","0","2","0"
"2","title","AEROTOP EVO LN 88","0","0","0","1","0"
"2","application","1","0","0","0","1","0"
"2","indoor","0","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","0","0","0","0","1","0"
"2","reversibility","1","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","0","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","0","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","3","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","76.10","4","10","0","2","0"
"2","EN14511_2_002","19.00","4","10","0","2","0"
"2","EN14511_2_003","4.01","4","10","0","2","0"
"2","EN12102_1_002","77","4","3","0","2","0"
"2","EN14825_001","159","4","3","0","2","0"
"2","EN14825_002","56.70","4","3","0","2","0"
"2","EN14825_003","4.06","4","3","0","2","0"
"2","EN14825_004","-7","4","3","0","2","0"
"2","EN14825_005","-10","4","3","0","2","0"
"2","EN14825_008","50.14","4","3","0","2","0"
"2","EN14825_009","2.70","4","3","0","2","0"
"2","EN14825_047","0.900","4","3","0","2","0"
"2","EN14825_010","30.53","4","3","0","2","0"
"2","EN14825_011","4.11","4","3","0","2","0"
"2","EN14825_048","0.900","4","3","0","2","0"
"2","EN14825_012","27.29","4","3","0","2","0"
"2","EN14825_013","5.40","4","3","0","2","0"
"2","EN14825_049","0.900","4","3","0","2","0"
"2","EN14825_014","40.91","4","3","0","2","0"
"2","EN14825_015","6.70","4","3","0","2","0"
"2","EN14825_050","0.900","4","3","0","2","0"
"2","EN14825_016","50.14","4","3","0","2","0"
"2","EN14825_017","2.70","4","3","0","2","0"
"2","EN14825_018","41.71","4","3","0","2","0"
"2","EN14825_019","2.15","4","3","0","2","0"
"2","EN14825_021","0.900","4","3","0","2","0"
"2","EN14825_022","35","4","3","0","2","0"
"2","EN14825_023","110","4","3","0","2","0"
"2","EN14825_024","200","4","3","0","2","0"
"2","EN14825_025","110","4","3","0","2","0"
"2","EN14825_026","10","4","3","0","2","0"
"2","EN14825_027","0","4","3","0","2","0"
"2","EN14825_028","14.97","4","3","0","2","0"
"2","EN14825_029","28860","4","3","0","2","0"
"4","title","AEROTOP EVO PLUS LN 79","0","0","0","1","0"
"4","application","2","0","0","0","1","0"
"4","indoor","0","0","0","0","1","0"
"4","outdoor","1","0","0","0","1","0"
"4","coolingMode7c12c","0","0","0","0","1","0"
"4","coolingMode18c23c","0","0","0","0","1","0"
"4","colderClimate","0","0","0","0","1","0"
"4","warmerClimate","0","0","0","0","1","0"
"4","reversibility","1","0","0","0","1","0"
"4","colderForHeating","0","0","0","0","1","0"
"4","warmerForHeating","0","0","0","0","1","0"
"4","en145112Certification","0","0","0","0","1","0"
"4","heatSource","0","0","0","0","1","0"
"4","additionalOutdoorAir","0","0","0","0","1","0"
"4","additionalExhaustAir","0","0","0","0","1","0"
"4","additionalIndoorAir","0","0","0","0","1","0"
"4","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"4","powerSupply","3","0","0","0","1","0"
"4","offPeakProduct","0","0","0","0","1","0"
"4","EN14511_2_001","65.40","4","10","0","2","0"
"4","EN14511_2_001","60.00","5","10","0","2","0"
"4","EN14511_2_002","15.50","4","10","0","2","0"
"4","EN14511_2_002","22.10","5","10","0","2","0"
"4","EN14511_2_003","4.22","4","10","0","2","0"
"4","EN14511_2_003","2.71","5","10","0","2","0"
"4","EN12102_1_002","73","4","3","0","2","0"
"4","EN12102_1_002","73","5","3","0","2","0"
"4","EN14825_001","167","4","3","0","2","0"
"4","EN14825_001","126","5","3","0","2","0"
"4","EN14825_002","48.80","4","3","0","2","0"
"4","EN14825_002","47.71","5","3","0","2","0"
"4","EN14825_003","4.24","4","3","0","2","0"
"4","EN14825_003","3.22","5","3","0","2","0"
"4","EN14825_004","-7","4","3","0","2","0"
"4","EN14825_004","-6","5","3","0","2","0"
"4","EN14825_005","-10","4","3","0","2","0"
"4","EN14825_005","-10","5","3","0","2","0"
"4","EN14825_008","43.21","4","3","0","2","0"
"4","EN14825_008","39.44","5","3","0","2","0"
"4","EN14825_009","2.67","4","3","0","2","0"
"4","EN14825_009","2.00","5","3","0","2","0"
"4","EN14825_047","0.970","4","3","0","2","0"
"4","EN14825_047","0.970","5","3","0","2","0"
"4","EN14825_010","27.14","4","3","0","2","0"
"4","EN14825_010","29.50","5","3","0","2","0"
"4","EN14825_011","4.32","4","3","0","2","0"
"4","EN14825_011","3.15","5","3","0","2","0"
"4","EN14825_048","0.970","4","3","0","2","0"
"4","EN14825_048","0.970","5","3","0","2","0"
"4","EN14825_012","27.23","4","3","0","2","0"
"4","EN14825_012","39.10","5","3","0","2","0"
"4","EN14825_013","5.40","4","3","0","2","0"
"4","EN14825_013","4.42","5","3","0","2","0"
"4","EN14825_049","0.970","4","3","0","2","0"
"4","EN14825_049","0.970","5","3","0","2","0"
"4","EN14825_014","40.82","4","3","0","2","0"
"4","EN14825_014","33.11","5","3","0","2","0"
"4","EN14825_015","6.70","4","3","0","2","0"
"4","EN14825_015","6.15","5","3","0","2","0"
"4","EN14825_050","0.970","4","3","0","2","0"
"4","EN14825_050","0.970","5","3","0","2","0"
"4","EN14825_016","43.21","4","3","0","2","0"
"4","EN14825_016","40.37","5","3","0","2","0"
"4","EN14825_017","2.67","4","3","0","2","0"
"4","EN14825_017","2.10","5","3","0","2","0"
"4","EN14825_018","38.45","4","3","0","2","0"
"4","EN14825_018","37.56","5","3","0","2","0"
"4","EN14825_019","2.33","4","3","0","2","0"
"4","EN14825_019","1.57","5","3","0","2","0"
"4","EN14825_021","0.970","4","3","0","2","0"
"4","EN14825_021","0.970","5","3","0","2","0"
"4","EN14825_022","35","4","3","0","2","0"
"4","EN14825_022","55","5","3","0","2","0"
"4","EN14825_023","110","4","3","0","2","0"
"4","EN14825_023","110","5","3","0","2","0"
"4","EN14825_024","200","4","3","0","2","0"
"4","EN14825_024","200","5","3","0","2","0"
"4","EN14825_025","110","4","3","0","2","0"
"4","EN14825_025","110","5","3","0","2","0"
"4","EN14825_026","10","4","3","0","2","0"
"4","EN14825_026","10","5","3","0","2","0"
"4","EN14825_027","0","4","3","0","2","0"
"4","EN14825_027","0","5","3","0","2","0"
"4","EN14825_028","10.40","4","3","0","2","0"
"4","EN14825_028","10.15","5","3","0","2","0"
"4","EN14825_029","23799","4","3","0","2","0"
"4","EN14825_029","30651","5","3","0","2","0"
"5","title","AEROTOP EVO PLUS LN 88","0","0","0","1","0"
"5","application","2","0","0","0","1","0"
"5","indoor","0","0","0","0","1","0"
"5","outdoor","1","0","0","0","1","0"
"5","coolingMode7c12c","0","0","0","0","1","0"
"5","coolingMode18c23c","0","0","0","0","1","0"
"5","colderClimate","0","0","0","0","1","0"
"5","warmerClimate","0","0","0","0","1","0"
"5","reversibility","1","0","0","0","1","0"
"5","colderForHeating","0","0","0","0","1","0"
"5","warmerForHeating","0","0","0","0","1","0"
"5","en145112Certification","0","0","0","0","1","0"
"5","heatSource","0","0","0","0","1","0"
"5","additionalOutdoorAir","0","0","0","0","1","0"
"5","additionalExhaustAir","0","0","0","0","1","0"
"5","additionalIndoorAir","0","0","0","0","1","0"
"5","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"5","powerSupply","3","0","0","0","1","0"
"5","offPeakProduct","0","0","0","0","1","0"
"5","EN14511_2_001","72.70","4","10","0","2","0"
"5","EN14511_2_001","68.70","5","10","0","2","0"
"5","EN14511_2_002","17.90","4","10","0","2","0"
"5","EN14511_2_002","25.90","5","10","0","2","0"
"5","EN14511_2_003","4.07","4","10","0","2","0"
"5","EN14511_2_003","2.65","5","10","0","2","0"
"5","EN12102_1_002","75","4","3","0","2","0"
"5","EN12102_1_002","75","5","3","0","2","0"
"5","EN14825_001","165","4","3","0","2","0"
"5","EN14825_001","125","5","3","0","2","0"
"5","EN14825_002","52.60","4","3","0","2","0"
"5","EN14825_002","55.24","5","3","0","2","0"
"5","EN14825_003","4.20","4","3","0","2","0"
"5","EN14825_003","3.20","5","3","0","2","0"
"5","EN14825_004","-7","4","3","0","2","0"
"5","EN14825_004","-6","5","3","0","2","0"
"5","EN14825_005","-10","4","3","0","2","0"
"5","EN14825_005","-10","5","3","0","2","0"
"5","EN14825_008","46.55","4","3","0","2","0"
"5","EN14825_008","45.64","5","3","0","2","0"
