"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","THERMOR AUREA 2 DUO 5","0","0","0","1","0"
"","application","4","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","7.87","4","10","0","2","0"
"","EN14511_2_001","7.47","5","10","0","2","0"
"","EN14511_2_002","1.60","4","10","0","2","0"
"","EN14511_2_002","2.32","5","10","0","2","0"
"","EN14511_2_003","4.91","4","10","0","2","0"
"","EN14511_2_003","3.22","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","36","4","1","0","2","0"
"","EN12102_1_001","36","5","1","0","2","0"
"","EN12102_1_001","36","4","3","0","2","0"
"","EN12102_1_001","36","5","3","0","2","0"
"","EN12102_1_002","55","4","1","0","2","0"
"","EN12102_1_002","55","5","1","0","2","0"
"","EN12102_1_002","55","4","3","0","2","0"
"","EN12102_1_002","55","5","3","0","2","0"
"","EN14825_001","232","4","1","0","2","0"
"","EN14825_001","184","5","1","0","2","0"
"","EN14825_001","178","4","3","0","2","0"
"","EN14825_001","141","5","3","0","2","0"
"","EN14825_002","6.50","4","1","0","2","0"
"","EN14825_002","6.60","5","1","0","2","0"
"","EN14825_002","7.40","4","3","0","2","0"
"","EN14825_002","7.00","5","3","0","2","0"
"","EN14825_003","5.86","4","1","0","2","0"
"","EN14825_003","4.68","5","1","0","2","0"
"","EN14825_003","4.53","4","3","0","2","0"
"","EN14825_003","3.61","5","3","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","6.60","4","3","0","2","0"
"","EN14825_008","6.20","5","3","0","2","0"
"","EN14825_009","2.70","4","3","0","2","0"
"","EN14825_009","2.21","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","6.50","4","1","0","2","0"
"","EN14825_010","6.60","5","1","0","2","0"
"","EN14825_010","4.00","4","3","0","2","0"
"","EN14825_010","3.80","5","3","0","2","0"
"","EN14825_011","3.20","4","1","0","2","0"
"","EN14825_011","2.48","5","1","0","2","0"
"","EN14825_011","4.44","4","3","0","2","0"
"","EN14825_011","3.39","5","3","0","2","0"
"","EN14825_048","0.990","4","1","0","2","0"
"","EN14825_048","0.990","5","1","0","2","0"
"","EN14825_048","0.980","4","3","0","2","0"
"","EN14825_048","0.980","5","3","0","2","0"
"","EN14825_012","4.20","4","1","0","2","0"
"","EN14825_012","4.20","5","1","0","2","0"
"","EN14825_012","2.90","4","3","0","2","0"
"","EN14825_012","2.80","5","3","0","2","0"
