"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","HPM-V450W/SR3","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","45.00","4","10","0","2","0"
"","EN14511_2_001","42.00","5","10","0","2","0"
"","EN14511_2_002","10.95","4","10","0","2","0"
"","EN14511_2_002","15.20","5","10","0","2","0"
"","EN14511_2_003","4.10","4","10","0","2","0"
"","EN14511_2_003","2.80","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","75","4","1","0","2","0"
"","EN12102_1_002","75","5","1","0","2","0"
"","EN12102_1_002","75","4","2","0","2","0"
"","EN12102_1_002","75","5","2","0","2","0"
"","EN12102_1_002","75","4","3","0","2","0"
"","EN12102_1_002","75","5","3","0","2","0"
"","EN14825_001","228","4","1","0","2","0"
"","EN14825_001","171","5","1","0","2","0"
"","EN14825_001","164","4","2","0","2","0"
"","EN14825_001","125","5","2","0","2","0"
"","EN14825_001","187","4","3","0","2","0"
"","EN14825_001","142","5","3","0","2","0"
"","EN14825_002","41.00","4","1","0","2","0"
"","EN14825_002","39.00","5","1","0","2","0"
"","EN14825_002","38.00","4","2","0","2","0"
"","EN14825_002","37.00","5","2","0","2","0"
"","EN14825_002","38.00","4","3","0","2","0"
"","EN14825_002","36.00","5","3","0","2","0"
"","EN14825_003","5.78","4","1","0","2","0"
"","EN14825_003","4.34","5","1","0","2","0"
"","EN14825_003","4.17","4","2","0","2","0"
"","EN14825_003","3.20","5","2","0","2","0"
"","EN14825_003","4.74","4","3","0","2","0"
"","EN14825_003","3.62","5","3","0","2","0"
"","EN14825_004","7","4","1","0","2","0"
"","EN14825_004","7","5","1","0","2","0"
"","EN14825_004","-15","4","2","0","2","0"
"","EN14825_004","-15","5","2","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-22","4","2","0","2","0"
"","EN14825_005","-22","5","2","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","23.57","4","2","0","2","0"
"","EN14825_008","22.86","5","2","0","2","0"
"","EN14825_008","34.48","4","3","0","2","0"
"","EN14825_008","31.95","5","3","0","2","0"
"","EN14825_009","3.44","4","2","0","2","0"
"","EN14825_009","2.63","5","2","0","2","0"
"","EN14825_009","2.74","4","3","0","2","0"
"","EN14825_009","2.05","5","3","0","2","0"
"","EN14825_047","0.996","4","2","0","2","0"
"","EN14825_047","0.997","5","2","0","2","0"
"","EN14825_047","0.998","4","3","0","2","0"
"","EN14825_047","0.998","5","3","0","2","0"
"","EN14825_010","26.00","4","1","0","2","0"
"","EN14825_010","24.94","5","1","0","2","0"
"","EN14825_010","14.69","4","2","0","2","0"
"","EN14825_010","13.66","5","2","0","2","0"
"","EN14825_010","19.68","4","3","0","2","0"
