"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","NE-F220HCR4TINEMV2-SA","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","15.12","4","10","0","2","0"
"","EN14511_2_001","14.61","5","10","0","2","0"
"","EN14511_2_002","3.24","4","10","0","2","0"
"","EN14511_2_002","4.89","5","10","0","2","0"
"","EN14511_2_003","4.67","4","10","0","2","0"
"","EN14511_2_003","2.99","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","66","4","3","0","2","0"
"","EN12102_1_002","66","5","3","0","2","0"
"","EN14825_001","193","4","3","0","2","0"
"","EN14825_001","139","5","3","0","2","0"
"","EN14825_002","13.91","4","3","0","2","0"
"","EN14825_002","13.90","5","3","0","2","0"
"","EN14825_003","4.90","4","3","0","2","0"
"","EN14825_003","3.55","5","3","0","2","0"
"","EN14825_004","-10","4","3","0","2","0"
"","EN14825_004","-10","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","12.34","4","3","0","2","0"
"","EN14825_008","12.33","5","3","0","2","0"
"","EN14825_009","3.04","4","3","0","2","0"
"","EN14825_009","2.22","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","7.69","4","3","0","2","0"
"","EN14825_010","7.65","5","3","0","2","0"
"","EN14825_011","4.67","4","3","0","2","0"
"","EN14825_011","3.36","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","7.39","4","3","0","2","0"
"","EN14825_012","7.16","5","3","0","2","0"
"","EN14825_013","6.75","4","3","0","2","0"
"","EN14825_013","4.79","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","8.68","4","3","0","2","0"
"","EN14825_014","8.41","5","3","0","2","0"
"","EN14825_015","8.99","4","3","0","2","0"
"","EN14825_015","6.56","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","13.91","4","3","0","2","0"
"","EN14825_016","13.90","5","3","0","2","0"
"","EN14825_017","2.80","4","3","0","2","0"
"","EN14825_017","2.10","5","3","0","2","0"
"","EN14825_018","13.91","4","3","0","2","0"
"","EN14825_018","13.90","5","3","0","2","0"
"","EN14825_019","2.80","4","3","0","2","0"
"","EN14825_019","2.10","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","10","4","3","0","2","0"
"","EN14825_023","10","5","3","0","2","0"
"","EN14825_024","30","4","3","0","2","0"
"","EN14825_024","30","5","3","0","2","0"
"","EN14825_025","10","4","3","0","2","0"
"","EN14825_025","10","5","3","0","2","0"
"","EN14825_026","50","4","3","0","2","0"
"","EN14825_026","50","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","5863","4","3","0","2","0"
"","EN14825_029","8090","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","2,670 kg","0","0","0","0"
"","Date","18.06.2025","0","0","0","0"
"","Manufacturer"," Guangdong New Energy Technology Co., Ltd.","0","0","0","0"
"","Modelname","Air To Water Heat Pump - R32 - Monobloc - 220","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
