"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Buderus Logatherm WPS 48.2 HT","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","0","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","0","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","2","0","0","0","1","0"
"1","EN14511_4_001","2","0","10","0","2","0"
"1","EN14511_4_002","2","0","10","0","2","0"
"1","EN14511_2_001","47.35","4","10","0","2","0"
"1","EN14511_2_001","47.69","5","10","0","2","0"
"1","EN14511_2_002","10.89","4","10","0","2","0"
"1","EN14511_2_002","15.43","5","10","0","2","0"
"1","EN14511_2_003","4.35","4","10","0","2","0"
"1","EN14511_2_003","3.09","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","54","4","1","0","2","0"
"1","EN12102_1_001","54","5","1","0","2","0"
"1","EN12102_1_001","54","4","2","0","2","0"
"1","EN12102_1_001","54","5","2","0","2","0"
"1","EN12102_1_001","54","4","3","0","2","0"
"1","EN12102_1_001","54","5","3","0","2","0"
"1","EN14825_001","194","4","1","0","2","0"
"1","EN14825_001","158","5","1","0","2","0"
"1","EN14825_001","197","4","2","0","2","0"
"1","EN14825_001","162","5","2","0","2","0"
"1","EN14825_001","192","4","3","0","2","0"
"1","EN14825_001","159","5","3","0","2","0"
"1","EN14825_002","39.00","4","1","0","2","0"
"1","EN14825_002","39.00","5","1","0","2","0"
"1","EN14825_002","41.00","4","2","0","2","0"
"1","EN14825_002","42.00","5","2","0","2","0"
"1","EN14825_002","47.35","4","3","0","2","0"
"1","EN14825_002","47.69","5","3","0","2","0"
"1","EN14825_003","5.05","4","1","0","2","0"
"1","EN14825_003","4.16","5","1","0","2","0"
"1","EN14825_003","5.13","4","2","0","2","0"
"1","EN14825_003","4.26","5","2","0","2","0"
"1","EN14825_003","5","4","3","0","2","0"
"1","EN14825_003","4.16","5","3","0","2","0"
"1","EN14825_004","2","4","1","0","2","0"
"1","EN14825_004","2","5","1","0","2","0"
"1","EN14825_004","-22","4","2","0","2","0"
"1","EN14825_004","-22","5","2","0","2","0"
"1","EN14825_004","-10","4","3","0","2","0"
"1","EN14825_004","-10","5","3","0","2","0"
"1","EN14825_005","2","4","1","0","2","0"
"1","EN14825_005","2","5","1","0","2","0"
"1","EN14825_005","-22","4","2","0","2","0"
"1","EN14825_005","-22","5","2","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","25.31","4","2","0","2","0"
"1","EN14825_008","25.48","5","2","0","2","0"
"1","EN14825_008","41.89","4","3","0","2","0"
"1","EN14825_008","42.19","5","3","0","2","0"
"1","EN14825_009","5.12","4","2","0","2","0"
"1","EN14825_009","4.09","5","2","0","2","0"
"1","EN14825_009","4.5","4","3","0","2","0"
"1","EN14825_009","3.34","5","3","0","2","0"
"1","EN14825_047","1.00","4","2","0","2","0"
