"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","NE-F160HCR5TINVMV2-PA","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","10.13","4","10","0","2","0"
"","EN14511_2_001","10.12","5","10","0","2","0"
"","EN14511_2_002","2.00","4","10","0","2","0"
"","EN14511_2_002","3.20","5","10","0","2","0"
"","EN14511_2_003","5.06","4","10","0","2","0"
"","EN14511_2_003","3.17","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","53","4","3","0","2","0"
"","EN12102_1_002","54","5","3","0","2","0"
"","EN14825_001","200","4","3","0","2","0"
"","EN14825_001","145","5","3","0","2","0"
"","EN14825_002","12.87","4","3","0","2","0"
"","EN14825_002","12.55","5","3","0","2","0"
"","EN14825_003","5.07","4","3","0","2","0"
"","EN14825_003","3.69","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","11.39","4","3","0","2","0"
"","EN14825_008","11.10","5","3","0","2","0"
"","EN14825_009","3.13","4","3","0","2","0"
"","EN14825_009","2.39","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","7.00","4","3","0","2","0"
"","EN14825_010","6.77","5","3","0","2","0"
"","EN14825_011","5.00","4","3","0","2","0"
"","EN14825_011","3.71","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","5.70","4","3","0","2","0"
"","EN14825_012","5.07","5","3","0","2","0"
"","EN14825_013","6.78","4","3","0","2","0"
"","EN14825_013","4.71","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","5.62","4","3","0","2","0"
"","EN14825_014","6.10","5","3","0","2","0"
"","EN14825_015","9.21","4","3","0","2","0"
"","EN14825_015","6.22","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","11.39","4","3","0","2","0"
"","EN14825_016","11.10","5","3","0","2","0"
"","EN14825_017","3.13","4","3","0","2","0"
"","EN14825_017","2.39","5","3","0","2","0"
"","EN14825_018","12.26","4","3","0","2","0"
"","EN14825_018","10.89","5","3","0","2","0"
"","EN14825_019","2.74","4","3","0","2","0"
"","EN14825_019","2.00","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","15","4","3","0","2","0"
"","EN14825_023","15","5","3","0","2","0"
"","EN14825_024","16","4","3","0","2","0"
"","EN14825_024","16","5","3","0","2","0"
"","EN14825_025","15","4","3","0","2","0"
"","EN14825_025","15","5","3","0","2","0"
"","EN14825_026","50","4","3","0","2","0"
"","EN14825_026","50","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.61","4","3","0","2","0"
"","EN14825_028","1.66","5","3","0","2","0"
"","EN14825_029","5244","4","3","0","2","0"
"","EN14825_029","7018","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","1,280 kg","0","0","0","0"
"","Date","29.11.2024","0","0","0","0"
"","Manufacturer"," Guangdong New Energy Technology Co., Ltd.","0","0","0","0"
"","Modelname","Air to water heat pump- R290- 160T- PA","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
