"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","PASRW080SB-BP-PS-D","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","19.67","4","10","0","2","0"
"","EN14511_2_001","19.96","5","10","0","2","0"
"","EN14511_2_002","4.45","4","10","0","2","0"
"","EN14511_2_002","7.65","5","10","0","2","0"
"","EN14511_2_003","4.42","4","10","0","2","0"
"","EN14511_2_003","2.61","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","63","4","3","0","2","0"
"","EN12102_1_002","66","5","3","0","2","0"
"","EN14825_001","186","4","3","0","2","0"
"","EN14825_001","136","5","3","0","2","0"
"","EN14825_002","19.76","4","3","0","2","0"
"","EN14825_002","17.23","5","3","0","2","0"
"","EN14825_003","4.71","4","3","0","2","0"
"","EN14825_003","3.49","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","17.48","4","3","0","2","0"
"","EN14825_008","15.24","5","3","0","2","0"
"","EN14825_009","2.90","4","3","0","2","0"
"","EN14825_009","2.31","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","10.73","4","3","0","2","0"
"","EN14825_010","9.41","5","3","0","2","0"
"","EN14825_011","4.69","4","3","0","2","0"
"","EN14825_011","3.45","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","8.35","4","3","0","2","0"
"","EN14825_012","7.92","5","3","0","2","0"
"","EN14825_013","6.38","4","3","0","2","0"
"","EN14825_013","4.52","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","9.25","4","3","0","2","0"
"","EN14825_014","9.12","5","3","0","2","0"
"","EN14825_015","7.87","4","3","0","2","0"
"","EN14825_015","5.93","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","17.48","4","3","0","2","0"
"","EN14825_016","15.24","5","3","0","2","0"
"","EN14825_017","2.90","4","3","0","2","0"
"","EN14825_017","2.31","5","3","0","2","0"
"","EN14825_018","18.76","4","3","0","2","0"
"","EN14825_018","17.05","5","3","0","2","0"
"","EN14825_019","2.48","4","3","0","2","0"
"","EN14825_019","1.97","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","16","4","3","0","2","0"
"","EN14825_023","16","5","3","0","2","0"
"","EN14825_024","16","4","3","0","2","0"
"","EN14825_024","16","5","3","0","2","0"
"","EN14825_025","16","4","3","0","2","0"
"","EN14825_025","16","5","3","0","2","0"
"","EN14825_026","86","4","3","0","2","0"
"","EN14825_026","86","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.00","4","3","0","2","0"
"","EN14825_028","0.19","5","3","0","2","0"
"","EN14825_029","8661","4","3","0","2","0"
"","EN14825_029","10215","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","1,800 kg","0","0","0","0"
"","Date","14.07.2025","0","0","0","0"
"","Manufacturer"," Guangdong PHNIX Eco-Energy Solution Ltd.","0","0","0","0"
"","Modelname","Intelligent Inverter Heat Pump-R290-PASRW080SB-BP-PS-D","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
