"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","LA 2030CP","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","11.56","4","10","0","2","0"
"","EN14511_2_001","17.41","5","10","0","2","0"
"","EN14511_2_002","2.14","4","10","0","2","0"
"","EN14511_2_002","5.51","5","10","0","2","0"
"","EN14511_2_003","5.41","4","10","0","2","0"
"","EN14511_2_003","3.16","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","51","4","1","0","2","0"
"","EN12102_1_002","51","5","1","0","2","0"
"","EN12102_1_002","51","4","2","0","2","0"
"","EN12102_1_002","51","5","2","0","2","0"
"","EN12102_1_002","51","4","3","0","2","0"
"","EN12102_1_002","51","5","3","0","2","0"
"","EN14825_001","261","4","1","0","2","0"
"","EN14825_001","189","5","1","0","2","0"
"","EN14825_001","186","4","2","0","2","0"
"","EN14825_001","141","5","2","0","2","0"
"","EN14825_001","205","4","3","0","2","0"
"","EN14825_001","155","5","3","0","2","0"
"","EN14825_002","17.50","4","1","0","2","0"
"","EN14825_002","17.95","5","1","0","2","0"
"","EN14825_002","14.10","4","2","0","2","0"
"","EN14825_002","14.48","5","2","0","2","0"
"","EN14825_002","19.70","4","3","0","2","0"
"","EN14825_002","19.80","5","3","0","2","0"
"","EN14825_003","6.60","4","1","0","2","0"
"","EN14825_003","4.81","5","1","0","2","0"
"","EN14825_003","4.72","4","2","0","2","0"
"","EN14825_003","3.59","5","2","0","2","0"
"","EN14825_003","5.20","4","3","0","2","0"
"","EN14825_003","3.96","5","3","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","-22","4","2","0","2","0"
"","EN14825_004","-22","5","2","0","2","0"
"","EN14825_004","-10","4","3","0","2","0"
"","EN14825_004","-10","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-22","4","2","0","2","0"
"","EN14825_005","-22","5","2","0","2","0"
"","EN14825_005","-22","4","3","0","2","0"
"","EN14825_005","-22","5","3","0","2","0"
"","EN14825_008","9.01","4","2","0","2","0"
"","EN14825_008","8.85","5","2","0","2","0"
"","EN14825_008","16.10","4","3","0","2","0"
"","EN14825_008","17.15","5","3","0","2","0"
"","EN14825_009","4.07","4","2","0","2","0"
"","EN14825_009","2.93","5","2","0","2","0"
"","EN14825_009","2.98","4","3","0","2","0"
"","EN14825_009","2.31","5","3","0","2","0"
"","EN14825_047","0.975","4","2","0","2","0"
"","EN14825_047","0.982","5","2","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","17.50","4","1","0","2","0"
"","EN14825_010","17.95","5","1","0","2","0"
"","EN14825_010","7.19","4","2","0","2","0"
"","EN14825_010","6.82","5","2","0","2","0"
"","EN14825_010","9.82","4","3","0","2","0"
"","EN14825_010","9.94","5","3","0","2","0"
"","EN14825_011","3.72","4","1","0","2","0"
"","EN14825_011","2.57","5","1","0","2","0"
"","EN14825_011","5.72","4","2","0","2","0"
"","EN14825_011","4.40","5","2","0","2","0"
"","EN14825_011","5.29","4","3","0","2","0"
"","EN14825_011","3.92","5","3","0","2","0"
"","EN14825_048","0.988","4","1","0","2","0"
"","EN14825_048","0.992","5","1","0","2","0"
"","EN14825_048","0.933","4","2","0","2","0"
"","EN14825_048","0.980","5","2","0","2","0"
"","EN14825_048","0.970","4","3","0","2","0"
"","EN14825_048","0.970","5","3","0","2","0"
"","EN14825_012","11.19","4","1","0","2","0"
"","EN14825_012","11.56","5","1","0","2","0"
"","EN14825_012","8.11","4","2","0","2","0"
"","EN14825_012","7.86","5","2","0","2","0"
"","EN14825_012","8.04","4","3","0","2","0"
"","EN14825_012","7.64","5","3","0","2","0"
"","EN14825_013","6.17","4","1","0","2","0"
"","EN14825_013","4.12","5","1","0","2","0"
"","EN14825_013","7.01","4","2","0","2","0"
"","EN14825_013","5.73","5","2","0","2","0"
"","EN14825_013","6.90","4","3","0","2","0"
"","EN14825_013","5.27","5","3","0","2","0"
"","EN14825_049","0.970","4","1","0","2","0"
"","EN14825_049","0.980","5","1","0","2","0"
"","EN14825_049","0.951","4","2","0","2","0"
"","EN14825_049","0.972","5","2","0","2","0"
"","EN14825_049","0.953","4","3","0","2","0"
"","EN14825_049","0.973","5","3","0","2","0"
"","EN14825_014","9.32","4","1","0","2","0"
"","EN14825_014","8.95","5","1","0","2","0"
"","EN14825_014","9.36","4","2","0","2","0"
"","EN14825_014","9.20","5","2","0","2","0"
"","EN14825_014","9.28","4","3","0","2","0"
"","EN14825_014","9.03","5","3","0","2","0"
"","EN14825_015","8.35","4","1","0","2","0"
"","EN14825_015","6.43","5","1","0","2","0"
"","EN14825_015","8.44","4","2","0","2","0"
"","EN14825_015","7.44","5","2","0","2","0"
"","EN14825_015","8.61","4","3","0","2","0"
"","EN14825_015","7.04","5","3","0","2","0"
"","EN14825_050","0.949","4","1","0","2","0"
"","EN14825_050","0.975","5","1","0","2","0"
"","EN14825_050","0.938","4","2","0","2","0"
"","EN14825_050","0.960","5","2","0","2","0"
"","EN14825_050","0.912","4","3","0","2","0"
"","EN14825_050","0.951","5","3","0","2","0"
"","EN14825_016","17.50","4","1","0","2","0"
"","EN14825_016","17.95","5","1","0","2","0"
"","EN14825_016","14.11","4","2","0","2","0"
"","EN14825_016","14.48","5","2","0","2","0"
"","EN14825_016","19.79","4","3","0","2","0"
"","EN14825_016","19.68","5","3","0","2","0"
"","EN14825_017","3.72","4","1","0","2","0"
"","EN14825_017","2.57","5","1","0","2","0"
"","EN14825_017","2.20","4","2","0","2","0"
"","EN14825_017","1.53","5","2","0","2","0"
"","EN14825_017","2.77","4","3","0","2","0"
"","EN14825_017","1.98","5","3","0","2","0"
"","EN14825_018","17.50","4","1","0","2","0"
"","EN14825_018","17.95","5","1","0","2","0"
"","EN14825_018","14.11","4","2","0","2","0"
"","EN14825_018","14.48","5","2","0","2","0"
"","EN14825_018","19.79","4","3","0","2","0"
"","EN14825_018","19.68","5","3","0","2","0"
"","EN14825_019","3.72","4","1","0","2","0"
"","EN14825_019","2.57","5","1","0","2","0"
"","EN14825_019","2.20","4","2","0","2","0"
"","EN14825_019","1.53","5","2","0","2","0"
"","EN14825_019","2.77","4","3","0","2","0"
"","EN14825_019","1.98","5","3","0","2","0"
"","EN14825_021","0.987","4","1","0","2","0"
"","EN14825_021","0.991","5","1","0","2","0"
"","EN14825_021","0.991","4","2","0","2","0"
"","EN14825_021","0.994","5","2","0","2","0"
"","EN14825_021","0.992","4","3","0","2","0"
"","EN14825_021","0.992","5","3","0","2","0"
"","EN14825_022","70","4","1","0","2","0"
"","EN14825_022","70","5","1","0","2","0"
"","EN14825_022","70","4","2","0","2","0"
"","EN14825_022","70","5","2","0","2","0"
"","EN14825_022","70","4","3","0","2","0"
"","EN14825_022","70","5","3","0","2","0"
"","EN14825_023","31","4","1","0","2","0"
"","EN14825_023","31","5","1","0","2","0"
"","EN14825_023","31","4","2","0","2","0"
"","EN14825_023","31","5","2","0","2","0"
"","EN14825_023","31","4","3","0","2","0"
"","EN14825_023","31","5","3","0","2","0"
"","EN14825_024","55","4","1","0","2","0"
"","EN14825_024","55","5","1","0","2","0"
"","EN14825_024","55","4","2","0","2","0"
"","EN14825_024","55","5","2","0","2","0"
"","EN14825_024","55","4","3","0","2","0"
"","EN14825_024","55","5","3","0","2","0"
"","EN14825_025","56","4","1","0","2","0"
"","EN14825_025","56","5","1","0","2","0"
"","EN14825_025","56","4","2","0","2","0"
"","EN14825_025","56","5","2","0","2","0"
"","EN14825_025","56","4","3","0","2","0"
"","EN14825_025","56","5","3","0","2","0"
"","EN14825_026","55","4","1","0","2","0"
"","EN14825_026","55","5","1","0","2","0"
"","EN14825_026","55","4","2","0","2","0"
"","EN14825_026","55","5","2","0","2","0"
"","EN14825_026","55","4","3","0","2","0"
"","EN14825_026","55","5","3","0","2","0"
"","EN14825_027","0","4","1","0","2","0"
"","EN14825_027","0","5","1","0","2","0"
"","EN14825_027","0","4","2","0","2","0"
"","EN14825_027","0","5","2","0","2","0"
"","EN14825_027","0","4","3","0","2","0"
"","EN14825_027","0","5","3","0","2","0"
"","EN14825_028","0.00","4","1","0","2","0"
"","EN14825_028","0.00","5","1","0","2","0"
"","EN14825_028","0.00","4","2","0","2","0"
"","EN14825_028","0.00","5","2","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.12","5","3","0","2","0"
"","EN14825_029","3542","4","1","0","2","0"
"","EN14825_029","4985","5","1","0","2","0"
"","EN14825_029","7371","4","2","0","2","0"
"","EN14825_029","9934","5","2","0","2","0"
"","EN14825_029","7826","4","3","0","2","0"
"","EN14825_029","10330","5","3","0","2","0"
"","EN14825_044","11.58","4","2","0","2","0"
"","EN14825_044","11.73","5","2","0","2","0"
"","EN14825_045","2.96","4","2","0","2","0"
"","EN14825_045","2.12","5","2","0","2","0"
"","EN14825_051","0.986","4","2","0","2","0"
"","EN14825_051","0.990","5","2","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","2,500 kg","0","0","0","0"
"","Date","29.08.2025","0","0","0","0"
"","Manufacturer"," Glen Dimplex Deutschland GmbH","0","0","0","0"
"","Modelname","LA 2030CP","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
