"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","THERMOR PERFECO M 18","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","16.13","4","10","0","2","0"
"","EN14511_2_001","15.44","5","10","0","2","0"
"","EN14511_2_002","3.59","4","10","0","2","0"
"","EN14511_2_002","5.36","5","10","0","2","0"
"","EN14511_2_003","4.49","4","10","0","2","0"
"","EN14511_2_003","2.88","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","59","4","3","0","2","0"
"","EN12102_1_002","59","5","3","0","2","0"
"","EN14825_001","175","4","3","0","2","0"
"","EN14825_001","141","5","3","0","2","0"
"","EN14825_002","14.80","4","3","0","2","0"
"","EN14825_002","14.20","5","3","0","2","0"
"","EN14825_003","4.45","4","3","0","2","0"
"","EN14825_003","3.61","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","13.10","4","3","0","2","0"
"","EN14825_008","12.60","5","3","0","2","0"
"","EN14825_009","3.05","4","3","0","2","0"
"","EN14825_009","2.23","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","8.00","4","3","0","2","0"
"","EN14825_010","7.60","5","3","0","2","0"
"","EN14825_011","4.30","4","3","0","2","0"
"","EN14825_011","3.56","5","3","0","2","0"
"","EN14825_048","0.990","4","3","0","2","0"
"","EN14825_048","0.990","5","3","0","2","0"
"","EN14825_012","5.70","4","3","0","2","0"
"","EN14825_012","5.60","5","3","0","2","0"
"","EN14825_013","6.06","4","3","0","2","0"
"","EN14825_013","4.76","5","3","0","2","0"
"","EN14825_049","0.980","4","3","0","2","0"
"","EN14825_049","0.990","5","3","0","2","0"
"","EN14825_014","6.10","4","3","0","2","0"
"","EN14825_014","6.10","5","3","0","2","0"
"","EN14825_015","6.90","4","3","0","2","0"
"","EN14825_015","5.64","5","3","0","2","0"
"","EN14825_050","0.980","4","3","0","2","0"
"","EN14825_050","0.990","5","3","0","2","0"
"","EN14825_016","13.10","4","3","0","2","0"
"","EN14825_016","12.60","5","3","0","2","0"
"","EN14825_017","3.05","4","3","0","2","0"
"","EN14825_017","2.23","5","3","0","2","0"
"","EN14825_018","8.40","4","3","0","2","0"
"","EN14825_018","11.60","5","3","0","2","0"
"","EN14825_019","2.14","4","3","0","2","0"
"","EN14825_019","1.98","5","3","0","2","0"
"","EN14825_021","0.990","4","3","0","2","0"
"","EN14825_021","0.990","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","6","4","3","0","2","0"
"","EN14825_023","6","5","3","0","2","0"
"","EN14825_024","10","4","3","0","2","0"
"","EN14825_024","10","5","3","0","2","0"
"","EN14825_025","6","4","3","0","2","0"
"","EN14825_025","6","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","6.40","4","3","0","2","0"
"","EN14825_028","2.60","5","3","0","2","0"
"","EN14825_029","6866","4","3","0","2","0"
"","EN14825_029","8128","5","3","0","2","0"
"","title","THERMOR PERFECO M 18 TRI","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","16.13","4","10","0","2","0"
"","EN14511_2_001","15.44","5","10","0","2","0"
"","EN14511_2_002","3.59","4","10","0","2","0"
"","EN14511_2_002","5.36","5","10","0","2","0"
"","EN14511_2_003","4.49","4","10","0","2","0"
"","EN14511_2_003","2.88","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","59","4","3","0","2","0"
"","EN12102_1_002","59","5","3","0","2","0"
"","EN14825_001","175","4","3","0","2","0"
"","EN14825_001","141","5","3","0","2","0"
"","EN14825_002","14.80","4","3","0","2","0"
"","EN14825_002","14.20","5","3","0","2","0"
"","EN14825_003","4.45","4","3","0","2","0"
"","EN14825_003","3.61","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","13.10","4","3","0","2","0"
"","EN14825_008","12.60","5","3","0","2","0"
"","EN14825_009","3.05","4","3","0","2","0"
"","EN14825_009","2.23","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","8.00","4","3","0","2","0"
"","EN14825_010","7.60","5","3","0","2","0"
"","EN14825_011","4.30","4","3","0","2","0"
"","EN14825_011","3.56","5","3","0","2","0"
"","EN14825_048","0.990","4","3","0","2","0"
